[20:02:06.470] [INFO   ] thread bguspl.set.Main.main() starting.
[20:02:06.483] [SEVERE ] cannot read configuration file config.properties trying from resources.
[20:02:10.342] [SEVERE ] updating countdown to 57601
[20:02:10.354] [SEVERE ] updating countdown to 57589
[20:02:10.367] [SEVERE ] updating countdown to 57576
[20:02:10.378] [SEVERE ] updating countdown to 57565
[20:02:10.390] [SEVERE ] updating countdown to 57553
[20:02:10.401] [SEVERE ] updating countdown to 57542
[20:02:10.412] [SEVERE ] updating countdown to 57531
[20:02:10.423] [SEVERE ] updating countdown to 57520
[20:02:10.434] [SEVERE ] updating countdown to 57509
[20:02:10.446] [SEVERE ] updating countdown to 57497
[20:02:10.457] [SEVERE ] updating countdown to 57486
[20:02:10.469] [SEVERE ] updating countdown to 57474
[20:02:10.480] [SEVERE ] updating countdown to 57463
[20:02:10.491] [SEVERE ] updating countdown to 57452
[20:02:10.502] [SEVERE ] updating countdown to 57441
[20:02:10.513] [SEVERE ] updating countdown to 57430
[20:02:10.525] [SEVERE ] updating countdown to 57418
[20:02:10.536] [SEVERE ] updating countdown to 57407
[20:02:10.548] [SEVERE ] updating countdown to 57395
[20:02:10.559] [SEVERE ] updating countdown to 57384
[20:02:10.571] [SEVERE ] updating countdown to 57372
[20:02:10.582] [SEVERE ] updating countdown to 57361
[20:02:10.593] [SEVERE ] updating countdown to 57350
[20:02:10.603] [SEVERE ] updating countdown to 57340
[20:02:10.614] [SEVERE ] updating countdown to 57329
[20:02:10.625] [SEVERE ] updating countdown to 57318
[20:02:10.637] [SEVERE ] updating countdown to 57306
[20:02:10.648] [SEVERE ] updating countdown to 57295
[20:02:10.659] [SEVERE ] updating countdown to 57284
[20:02:10.670] [SEVERE ] updating countdown to 57273
[20:02:10.681] [SEVERE ] updating countdown to 57262
[20:02:10.692] [SEVERE ] updating countdown to 57251
[20:02:10.703] [SEVERE ] updating countdown to 57240
[20:02:10.714] [SEVERE ] updating countdown to 57229
[20:02:10.726] [SEVERE ] updating countdown to 57217
[20:02:10.737] [SEVERE ] updating countdown to 57206
[20:02:10.748] [SEVERE ] updating countdown to 57195
[20:02:10.760] [SEVERE ] updating countdown to 57183
[20:02:10.771] [SEVERE ] updating countdown to 57172
[20:02:10.783] [SEVERE ] updating countdown to 57160
[20:02:10.794] [SEVERE ] updating countdown to 57149
[20:02:10.805] [SEVERE ] updating countdown to 57138
[20:02:10.816] [SEVERE ] updating countdown to 57127
[20:02:10.855] [SEVERE ] updating countdown to 57088
[20:02:10.886] [SEVERE ] updating countdown to 57057
[20:02:10.902] [SEVERE ] updating countdown to 57041
[20:02:10.964] [SEVERE ] updating countdown to 56979
[20:02:10.976] [SEVERE ] updating countdown to 56967
[20:02:10.991] [SEVERE ] updating countdown to 56952
[20:02:11.002] [SEVERE ] updating countdown to 56941
[20:02:11.013] [SEVERE ] updating countdown to 56930
[20:02:11.023] [SEVERE ] updating countdown to 56920
[20:02:11.034] [SEVERE ] updating countdown to 56909
[20:02:11.045] [SEVERE ] updating countdown to 56898
[20:02:11.056] [SEVERE ] updating countdown to 56887
[20:02:11.067] [SEVERE ] updating countdown to 56876
[20:02:11.077] [SEVERE ] updating countdown to 56866
[20:02:11.088] [SEVERE ] updating countdown to 56855
[20:02:11.099] [SEVERE ] updating countdown to 56844
[20:02:11.111] [SEVERE ] updating countdown to 56832
[20:02:11.122] [SEVERE ] updating countdown to 56821
[20:02:11.133] [SEVERE ] updating countdown to 56810
[20:02:11.144] [SEVERE ] updating countdown to 56799
[20:02:11.155] [SEVERE ] updating countdown to 56788
[20:02:11.166] [SEVERE ] updating countdown to 56777
[20:02:11.176] [SEVERE ] updating countdown to 56767
[20:02:11.187] [SEVERE ] updating countdown to 56756
[20:02:11.198] [SEVERE ] updating countdown to 56745
[20:02:11.209] [SEVERE ] updating countdown to 56734
[20:02:11.222] [SEVERE ] updating countdown to 56723
[20:02:11.234] [SEVERE ] updating countdown to 56710
[20:02:11.246] [SEVERE ] updating countdown to 56698
