[13:35:24.483] [INFO   ] thread bguspl.set.Main.main() starting.
[13:35:24.490] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:35:24.493] [SEVERE ] configuration file was loaded from resources directory.
[13:35:25.918] [INFO   ] thread dealer starting.
[13:35:25.921] [INFO   ] thread dealer starting.
[13:35:25.922] [INFO   ] thread player 0 starting.
[13:35:25.924] [INFO   ] thread player 1 starting.
[13:35:25.924] [INFO   ] thread player 0 starting.
[13:35:25.925] [INFO   ] thread player 1 starting.
[13:35:26.028] [SEVERE ] placing card 0 in slot 0
[13:35:26.129] [SEVERE ] placing card 1 in slot 1
[13:35:26.231] [SEVERE ] placing card 2 in slot 2
[13:35:26.333] [SEVERE ] placing card 3 in slot 3
[13:35:26.435] [SEVERE ] placing card 4 in slot 4
[13:35:26.536] [SEVERE ] placing card 5 in slot 5
[13:35:26.638] [SEVERE ] placing card 6 in slot 6
[13:35:26.739] [SEVERE ] placing card 7 in slot 7
[13:35:26.840] [SEVERE ] placing card 8 in slot 8
[13:35:26.942] [SEVERE ] placing card 9 in slot 9
[13:35:27.043] [SEVERE ] placing card 10 in slot 10
[13:35:27.145] [SEVERE ] placing card 11 in slot 11
[13:35:27.157] [SEVERE ] updating countdown to 58739
[13:35:27.168] [SEVERE ] updating countdown to 58728
[13:35:27.180] [SEVERE ] updating countdown to 58716
[13:35:27.191] [SEVERE ] updating countdown to 58705
[13:35:27.202] [SEVERE ] updating countdown to 58694
[13:35:27.214] [SEVERE ] updating countdown to 58682
[13:35:27.225] [SEVERE ] updating countdown to 58671
[13:35:27.236] [SEVERE ] updating countdown to 58660
[13:35:27.246] [SEVERE ] updating countdown to 58650
[13:35:27.257] [SEVERE ] updating countdown to 58639
[13:35:27.268] [SEVERE ] updating countdown to 58628
[13:35:27.279] [SEVERE ] updating countdown to 58618
[13:35:27.289] [SEVERE ] updating countdown to 58607
[13:35:27.300] [SEVERE ] updating countdown to 58596
[13:35:27.311] [SEVERE ] updating countdown to 58585
[13:35:27.322] [SEVERE ] updating countdown to 58574
[13:35:27.333] [SEVERE ] updating countdown to 58563
[13:35:27.343] [SEVERE ] updating countdown to 58553
[13:35:27.354] [SEVERE ] updating countdown to 58542
[13:35:27.364] [SEVERE ] updating countdown to 58532
[13:35:27.375] [SEVERE ] updating countdown to 58521
[13:35:27.386] [SEVERE ] updating countdown to 58510
[13:35:27.397] [SEVERE ] updating countdown to 58499
[13:35:27.408] [SEVERE ] updating countdown to 58488
[13:35:27.419] [SEVERE ] updating countdown to 58477
[13:35:27.429] [SEVERE ] updating countdown to 58467
[13:35:27.440] [SEVERE ] updating countdown to 58456
[13:35:27.451] [SEVERE ] updating countdown to 58445
[13:35:27.461] [SEVERE ] updating countdown to 58435
[13:35:27.472] [SEVERE ] updating countdown to 58424
[13:35:27.482] [SEVERE ] updating countdown to 58414
[13:35:27.493] [SEVERE ] updating countdown to 58403
[13:35:27.504] [SEVERE ] updating countdown to 58392
[13:35:27.514] [SEVERE ] updating countdown to 58382
[13:35:27.525] [SEVERE ] updating countdown to 58371
[13:35:27.536] [SEVERE ] updating countdown to 58360
[13:35:27.547] [SEVERE ] updating countdown to 58349
[13:35:27.557] [SEVERE ] updating countdown to 58339
[13:35:27.568] [SEVERE ] updating countdown to 58328
[13:35:27.579] [SEVERE ] updating countdown to 58317
[13:35:27.590] [SEVERE ] updating countdown to 58306
[13:35:27.600] [SEVERE ] updating countdown to 58296
[13:35:27.611] [SEVERE ] updating countdown to 58285
[13:35:27.623] [SEVERE ] updating countdown to 58273
