[17:57:44.810] [INFO   ] thread bguspl.set.Main.main() starting.
[17:57:44.827] [SEVERE ] cannot read configuration file config.properties trying from resources.
[17:57:44.835] [SEVERE ] configuration file was loaded from resources directory.
[17:57:45.997] [INFO   ] thread dealer starting.
[17:57:45.998] [INFO   ] thread dealer starting.
[17:57:45.999] [INFO   ] thread player 0 starting.
[17:57:45.999] [INFO   ] thread player 1 starting.
[17:57:45.999] [INFO   ] thread player 0 starting.
[17:57:46.000] [INFO   ] thread player 1 starting.
[17:57:46.104] [SEVERE ] placing card 0 in slot 0
[17:57:46.205] [SEVERE ] placing card 1 in slot 1
[17:57:46.306] [SEVERE ] placing card 2 in slot 2
[17:57:46.408] [SEVERE ] placing card 3 in slot 3
[17:57:46.509] [SEVERE ] placing card 4 in slot 4
[17:57:46.627] [SEVERE ] placing card 5 in slot 5
[17:57:46.728] [SEVERE ] placing card 6 in slot 6
[17:57:46.829] [SEVERE ] placing card 7 in slot 7
[17:57:46.930] [SEVERE ] placing card 8 in slot 8
[17:57:47.032] [SEVERE ] placing card 9 in slot 9
[17:57:47.133] [SEVERE ] placing card 10 in slot 10
[17:57:47.235] [SEVERE ] placing card 11 in slot 11
[17:57:47.246] [SEVERE ] updating countdown to 58739
[17:57:47.258] [SEVERE ] updating countdown to 58727
[17:57:47.269] [SEVERE ] updating countdown to 58716
[17:57:47.280] [SEVERE ] updating countdown to 58705
[17:57:47.292] [SEVERE ] updating countdown to 58693
[17:57:47.304] [SEVERE ] updating countdown to 58682
[17:57:47.315] [SEVERE ] updating countdown to 58670
[17:57:47.326] [SEVERE ] updating countdown to 58659
[17:57:47.337] [SEVERE ] updating countdown to 58648
[17:57:47.349] [SEVERE ] updating countdown to 58636
[17:57:47.360] [SEVERE ] updating countdown to 58625
[17:57:47.371] [SEVERE ] updating countdown to 58614
[17:57:47.383] [SEVERE ] updating countdown to 58602
[17:57:47.394] [SEVERE ] updating countdown to 58591
[17:57:47.405] [SEVERE ] updating countdown to 58580
[17:57:47.417] [SEVERE ] updating countdown to 58568
[17:57:47.428] [SEVERE ] updating countdown to 58557
[17:57:47.439] [SEVERE ] updating countdown to 58546
[17:57:47.451] [SEVERE ] updating countdown to 58534
[17:57:47.462] [SEVERE ] updating countdown to 58523
[17:57:47.474] [SEVERE ] updating countdown to 58511
[17:57:47.485] [SEVERE ] updating countdown to 58500
[17:57:47.496] [SEVERE ] updating countdown to 58490
[17:57:47.507] [SEVERE ] updating countdown to 58478
[17:57:47.518] [SEVERE ] updating countdown to 58467
[17:57:47.528] [SEVERE ] updating countdown to 58457
[17:57:47.540] [SEVERE ] updating countdown to 58445
[17:57:47.551] [SEVERE ] updating countdown to 58435
[17:57:47.561] [SEVERE ] updating countdown to 58424
[17:57:47.572] [SEVERE ] updating countdown to 58413
[17:57:47.583] [SEVERE ] updating countdown to 58402
[17:57:47.594] [SEVERE ] updating countdown to 58391
[17:57:47.606] [SEVERE ] updating countdown to 58379
[17:57:47.617] [SEVERE ] updating countdown to 58369
[17:57:47.627] [SEVERE ] updating countdown to 58358
[17:57:47.638] [SEVERE ] updating countdown to 58347
[17:57:47.649] [SEVERE ] updating countdown to 58336
[17:57:47.660] [SEVERE ] updating countdown to 58325
[17:57:47.671] [SEVERE ] updating countdown to 58314
[17:57:47.682] [SEVERE ] updating countdown to 58303
[17:57:47.693] [SEVERE ] updating countdown to 58292
[17:57:47.703] [SEVERE ] updating countdown to 58282
[17:57:47.714] [SEVERE ] updating countdown to 58271
[17:57:47.725] [SEVERE ] updating countdown to 58260
[17:57:47.736] [SEVERE ] updating countdown to 58249
[17:57:47.746] [SEVERE ] updating countdown to 58239
[17:57:47.757] [SEVERE ] updating countdown to 58228
[17:57:47.769] [SEVERE ] updating countdown to 58216
[17:57:47.779] [SEVERE ] updating countdown to 58206
[17:57:47.791] [SEVERE ] updating countdown to 58194
[17:57:47.802] [SEVERE ] updating countdown to 58183
[17:57:47.813] [SEVERE ] updating countdown to 58172
[17:57:47.825] [SEVERE ] updating countdown to 58160
[17:57:47.835] [SEVERE ] updating countdown to 58150
[17:57:47.846] [SEVERE ] updating countdown to 58139
[17:57:47.857] [SEVERE ] updating countdown to 58128
[17:57:47.868] [SEVERE ] updating countdown to 58117
[17:57:47.879] [SEVERE ] updating countdown to 58106
[17:57:47.891] [SEVERE ] updating countdown to 58094
[17:57:47.902] [SEVERE ] updating countdown to 58083
[17:57:47.913] [SEVERE ] updating countdown to 58072
[17:57:47.924] [SEVERE ] updating countdown to 58061
[17:57:47.935] [SEVERE ] updating countdown to 58050
[17:57:47.947] [SEVERE ] updating countdown to 58038
[17:57:47.958] [SEVERE ] updating countdown to 58028
[17:57:47.968] [SEVERE ] updating countdown to 58017
[17:57:47.980] [SEVERE ] updating countdown to 58005
[17:57:47.992] [SEVERE ] updating countdown to 57993
[17:57:48.003] [SEVERE ] updating countdown to 57982
[17:57:48.013] [SEVERE ] updating countdown to 57972
[17:57:48.025] [SEVERE ] updating countdown to 57960
[17:57:48.036] [SEVERE ] updating countdown to 57949
[17:57:48.047] [SEVERE ] updating countdown to 57938
[17:57:48.058] [SEVERE ] updating countdown to 57927
[17:57:48.068] [SEVERE ] updating countdown to 57917
[17:57:48.079] [SEVERE ] updating countdown to 57906
[17:57:48.090] [SEVERE ] updating countdown to 57895
[17:57:48.101] [SEVERE ] updating countdown to 57884
[17:57:48.112] [SEVERE ] updating countdown to 57873
[17:57:48.123] [SEVERE ] updating countdown to 57862
[17:57:48.134] [SEVERE ] updating countdown to 57851
[17:57:48.145] [SEVERE ] updating countdown to 57840
[17:57:48.156] [SEVERE ] updating countdown to 57829
[17:57:48.167] [SEVERE ] updating countdown to 57818
[17:57:48.178] [SEVERE ] updating countdown to 57807
[17:57:48.189] [SEVERE ] updating countdown to 57796
[17:57:48.200] [SEVERE ] updating countdown to 57785
[17:57:48.211] [SEVERE ] updating countdown to 57774
[17:57:48.222] [SEVERE ] updating countdown to 57763
[17:57:48.233] [SEVERE ] updating countdown to 57752
[17:57:48.244] [SEVERE ] updating countdown to 57741
[17:57:48.254] [SEVERE ] updating countdown to 57731
[17:57:48.265] [SEVERE ] updating countdown to 57720
[17:57:48.276] [SEVERE ] updating countdown to 57709
[17:57:48.288] [SEVERE ] updating countdown to 57697
[17:57:48.298] [SEVERE ] updating countdown to 57687
[17:57:48.309] [SEVERE ] updating countdown to 57676
[17:57:48.320] [SEVERE ] updating countdown to 57665
[17:57:48.330] [SEVERE ] updating countdown to 57655
[17:57:48.341] [SEVERE ] updating countdown to 57644
[17:57:48.352] [SEVERE ] updating countdown to 57633
[17:57:48.363] [SEVERE ] updating countdown to 57622
[17:57:48.374] [SEVERE ] updating countdown to 57611
[17:57:48.385] [SEVERE ] updating countdown to 57600
[17:57:48.396] [SEVERE ] updating countdown to 57589
[17:57:48.406] [SEVERE ] updating countdown to 57579
[17:57:48.417] [SEVERE ] updating countdown to 57568
[17:57:48.428] [SEVERE ] updating countdown to 57557
[17:57:48.441] [SEVERE ] updating countdown to 57544
[17:57:48.451] [SEVERE ] updating countdown to 57534
[17:57:48.462] [SEVERE ] updating countdown to 57523
[17:57:48.473] [SEVERE ] updating countdown to 57512
[17:57:48.484] [SEVERE ] updating countdown to 57501
[17:57:48.513] [SEVERE ] updating countdown to 57472
[17:57:48.562] [SEVERE ] updating countdown to 57423
[17:57:48.590] [SEVERE ] updating countdown to 57395
[17:57:48.601] [SEVERE ] updating countdown to 57384
[17:57:48.612] [SEVERE ] updating countdown to 57373
[17:57:48.623] [SEVERE ] updating countdown to 57362
[17:57:48.633] [SEVERE ] updating countdown to 57352
[17:57:48.645] [SEVERE ] updating countdown to 57340
[17:57:48.655] [SEVERE ] updating countdown to 57330
[17:57:48.667] [SEVERE ] updating countdown to 57318
[17:57:48.678] [SEVERE ] updating countdown to 57307
[17:57:48.689] [SEVERE ] updating countdown to 57296
[17:57:48.700] [SEVERE ] updating countdown to 57285
[17:57:48.711] [SEVERE ] updating countdown to 57274
[17:57:48.722] [SEVERE ] updating countdown to 57263
[17:57:48.732] [SEVERE ] updating countdown to 57253
[17:57:48.743] [SEVERE ] updating countdown to 57242
[17:57:48.754] [SEVERE ] updating countdown to 57231
[17:57:48.764] [SEVERE ] updating countdown to 57221
[17:57:48.775] [SEVERE ] updating countdown to 57210
[17:57:48.786] [SEVERE ] updating countdown to 57199
[17:57:48.797] [SEVERE ] updating countdown to 57189
[17:57:48.807] [SEVERE ] updating countdown to 57178
[17:57:48.818] [SEVERE ] updating countdown to 57167
[17:57:48.828] [SEVERE ] updating countdown to 57157
[17:57:48.840] [SEVERE ] updating countdown to 57145
[17:57:48.850] [SEVERE ] updating countdown to 57135
[17:57:48.861] [SEVERE ] updating countdown to 57124
[17:57:48.872] [SEVERE ] updating countdown to 57113
[17:57:48.882] [SEVERE ] updating countdown to 57103
[17:57:48.893] [SEVERE ] updating countdown to 57092
[17:57:48.904] [SEVERE ] updating countdown to 57081
[17:57:48.914] [SEVERE ] updating countdown to 57071
[17:57:48.925] [SEVERE ] updating countdown to 57060
[17:57:48.936] [SEVERE ] updating countdown to 57049
[17:57:48.947] [SEVERE ] updating countdown to 57038
[17:57:48.958] [SEVERE ] updating countdown to 57027
[17:57:48.969] [SEVERE ] updating countdown to 57016
[17:57:48.980] [SEVERE ] updating countdown to 57005
[17:57:48.991] [SEVERE ] updating countdown to 56994
[17:57:49.002] [SEVERE ] updating countdown to 56983
[17:57:49.012] [SEVERE ] updating countdown to 56973
[17:57:49.023] [SEVERE ] updating countdown to 56962
[17:57:49.034] [SEVERE ] updating countdown to 56951
[17:57:49.044] [SEVERE ] updating countdown to 56941
[17:57:49.055] [SEVERE ] updating countdown to 56930
[17:57:49.066] [SEVERE ] updating countdown to 56919
[17:57:49.077] [SEVERE ] updating countdown to 56908
[17:57:49.087] [SEVERE ] updating countdown to 56898
[17:57:49.098] [SEVERE ] updating countdown to 56887
[17:57:49.109] [SEVERE ] updating countdown to 56876
[17:57:49.119] [SEVERE ] updating countdown to 56866
[17:57:49.131] [SEVERE ] updating countdown to 56854
[17:57:49.142] [SEVERE ] updating countdown to 56843
[17:57:49.152] [SEVERE ] updating countdown to 56833
[17:57:49.163] [SEVERE ] updating countdown to 56822
[17:57:49.173] [SEVERE ] updating countdown to 56812
[17:57:49.184] [SEVERE ] updating countdown to 56801
[17:57:49.194] [SEVERE ] updating countdown to 56791
[17:57:49.205] [SEVERE ] updating countdown to 56780
[17:57:49.216] [SEVERE ] updating countdown to 56769
[17:57:49.226] [SEVERE ] updating countdown to 56759
[17:57:49.237] [SEVERE ] updating countdown to 56748
[17:57:49.248] [SEVERE ] updating countdown to 56737
[17:57:49.258] [SEVERE ] updating countdown to 56727
[17:57:49.269] [SEVERE ] updating countdown to 56716
[17:57:49.280] [SEVERE ] updating countdown to 56705
[17:57:49.290] [SEVERE ] updating countdown to 56695
[17:57:49.301] [SEVERE ] updating countdown to 56684
[17:57:49.311] [SEVERE ] updating countdown to 56674
[17:57:49.322] [SEVERE ] updating countdown to 56663
[17:57:49.332] [SEVERE ] updating countdown to 56653
[17:57:49.343] [SEVERE ] updating countdown to 56642
[17:57:49.353] [SEVERE ] updating countdown to 56632
[17:57:49.364] [SEVERE ] updating countdown to 56621
[17:57:49.374] [SEVERE ] updating countdown to 56611
[17:57:49.385] [SEVERE ] updating countdown to 56600
[17:57:49.396] [SEVERE ] updating countdown to 56589
[17:57:49.407] [SEVERE ] updating countdown to 56578
[17:57:49.418] [SEVERE ] updating countdown to 56567
[17:57:49.429] [SEVERE ] updating countdown to 56556
[17:57:49.440] [SEVERE ] updating countdown to 56545
[17:57:49.451] [SEVERE ] updating countdown to 56534
[17:57:49.462] [SEVERE ] updating countdown to 56523
[17:57:49.472] [SEVERE ] updating countdown to 56513
[17:57:49.483] [SEVERE ] updating countdown to 56502
[17:57:49.493] [SEVERE ] updating countdown to 56492
[17:57:49.504] [SEVERE ] updating countdown to 56481
[17:57:49.515] [SEVERE ] updating countdown to 56470
[17:57:49.525] [SEVERE ] updating countdown to 56460
[17:57:49.536] [SEVERE ] updating countdown to 56449
[17:57:49.546] [SEVERE ] updating countdown to 56439
[17:57:49.557] [SEVERE ] updating countdown to 56428
[17:57:49.567] [SEVERE ] updating countdown to 56418
[17:57:49.578] [SEVERE ] updating countdown to 56407
[17:57:49.588] [SEVERE ] updating countdown to 56397
[17:57:49.599] [SEVERE ] updating countdown to 56386
[17:57:49.612] [SEVERE ] updating countdown to 56373
[17:57:49.623] [SEVERE ] updating countdown to 56362
[17:57:49.634] [SEVERE ] updating countdown to 56351
[17:57:49.644] [SEVERE ] updating countdown to 56341
[17:57:49.655] [SEVERE ] updating countdown to 56330
[17:57:49.671] [SEVERE ] updating countdown to 56314
[17:57:49.681] [SEVERE ] updating countdown to 56304
[17:57:49.692] [SEVERE ] updating countdown to 56293
[17:57:49.703] [SEVERE ] updating countdown to 56282
[17:57:49.714] [SEVERE ] updating countdown to 56271
[17:57:49.725] [SEVERE ] updating countdown to 56260
[17:57:49.736] [SEVERE ] updating countdown to 56249
[17:57:49.747] [SEVERE ] updating countdown to 56238
[17:57:49.758] [SEVERE ] updating countdown to 56227
[17:57:49.769] [SEVERE ] updating countdown to 56216
[17:57:49.779] [SEVERE ] updating countdown to 56206
[17:57:49.791] [SEVERE ] updating countdown to 56194
[17:57:49.802] [SEVERE ] updating countdown to 56183
[17:57:49.813] [SEVERE ] updating countdown to 56172
[17:57:49.824] [SEVERE ] updating countdown to 56161
[17:57:49.834] [SEVERE ] updating countdown to 56151
[17:57:49.845] [SEVERE ] updating countdown to 56140
[17:57:49.856] [SEVERE ] updating countdown to 56129
[17:57:49.867] [SEVERE ] updating countdown to 56118
[17:57:49.877] [SEVERE ] updating countdown to 56108
[17:57:49.889] [SEVERE ] updating countdown to 56096
[17:57:49.899] [SEVERE ] updating countdown to 56086
[17:57:49.910] [SEVERE ] updating countdown to 56075
[17:57:49.921] [SEVERE ] updating countdown to 56064
[17:57:49.932] [SEVERE ] updating countdown to 56053
[17:57:49.942] [SEVERE ] updating countdown to 56043
[17:57:49.953] [SEVERE ] updating countdown to 56032
[17:57:49.964] [SEVERE ] updating countdown to 56021
[17:57:49.974] [SEVERE ] updating countdown to 56011
[17:57:49.985] [SEVERE ] updating countdown to 56000
[17:57:49.996] [SEVERE ] updating countdown to 55989
[17:57:50.008] [SEVERE ] updating countdown to 55977
[17:57:50.019] [SEVERE ] updating countdown to 55966
[17:57:50.030] [SEVERE ] updating countdown to 55955
[17:57:50.041] [SEVERE ] updating countdown to 55944
[17:57:50.051] [SEVERE ] updating countdown to 55934
[17:57:50.062] [SEVERE ] updating countdown to 55923
[17:57:50.073] [SEVERE ] updating countdown to 55912
[17:57:50.083] [SEVERE ] updating countdown to 55902
[17:57:50.094] [SEVERE ] updating countdown to 55891
[17:57:50.105] [SEVERE ] updating countdown to 55880
[17:57:50.116] [SEVERE ] updating countdown to 55869
[17:57:50.127] [SEVERE ] updating countdown to 55859
[17:57:50.138] [SEVERE ] updating countdown to 55847
[17:57:50.149] [SEVERE ] updating countdown to 55836
[17:57:50.160] [SEVERE ] updating countdown to 55825
[17:57:50.171] [SEVERE ] updating countdown to 55814
[17:57:50.182] [SEVERE ] updating countdown to 55803
[17:57:50.192] [SEVERE ] updating countdown to 55793
[17:57:50.203] [SEVERE ] updating countdown to 55782
[17:57:50.213] [SEVERE ] updating countdown to 55772
[17:57:50.224] [SEVERE ] updating countdown to 55761
[17:57:50.234] [SEVERE ] updating countdown to 55751
[17:57:50.245] [SEVERE ] updating countdown to 55740
[17:57:50.256] [SEVERE ] updating countdown to 55729
[17:57:50.267] [SEVERE ] updating countdown to 55718
[17:57:50.277] [SEVERE ] updating countdown to 55708
[17:57:50.288] [SEVERE ] updating countdown to 55697
[17:57:50.299] [SEVERE ] updating countdown to 55686
[17:57:50.310] [SEVERE ] updating countdown to 55675
[17:57:50.320] [SEVERE ] updating countdown to 55665
[17:57:50.331] [SEVERE ] updating countdown to 55654
