[16:06:26.817] [INFO   ] thread bguspl.set.Main.main() starting.
[16:06:26.826] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:06:26.831] [SEVERE ] configuration file was loaded from resources directory.
[16:06:27.951] [INFO   ] thread dealer starting.
[16:06:27.952] [INFO   ] thread dealer starting.
[16:06:27.953] [INFO   ] thread player 0 starting.
[16:06:27.954] [INFO   ] thread player 0 starting.
[16:06:27.957] [INFO   ] thread computer-0 starting.
[16:06:28.061] [SEVERE ] placing card 0 in slot 0
[16:06:28.061] [SEVERE ] player 1 placing token on slot 0
[16:06:28.063] [SEVERE ] removing player 1 token from slot 0
[16:06:28.064] [SEVERE ] player 1 placing token on slot 0
[16:06:28.068] [SEVERE ] removing player 1 token from slot 0
[16:06:28.069] [SEVERE ] player 1 placing token on slot 0
[16:06:28.070] [SEVERE ] removing player 1 token from slot 0
[16:06:28.072] [SEVERE ] player 1 placing token on slot 0
[16:06:28.076] [SEVERE ] removing player 1 token from slot 0
[16:06:28.078] [SEVERE ] player 1 placing token on slot 0
[16:06:28.080] [SEVERE ] removing player 1 token from slot 0
[16:06:28.082] [SEVERE ] player 1 placing token on slot 0
[16:06:28.083] [SEVERE ] removing player 1 token from slot 0
[16:06:28.084] [SEVERE ] player 1 placing token on slot 0
[16:06:28.087] [SEVERE ] removing player 1 token from slot 0
[16:06:28.088] [SEVERE ] player 1 placing token on slot 0
[16:06:28.089] [SEVERE ] removing player 1 token from slot 0
[16:06:28.091] [SEVERE ] player 1 placing token on slot 0
[16:06:28.093] [SEVERE ] removing player 1 token from slot 0
[16:06:28.095] [SEVERE ] player 1 placing token on slot 0
[16:06:28.096] [SEVERE ] removing player 1 token from slot 0
[16:06:28.097] [SEVERE ] player 1 placing token on slot 0
[16:06:28.101] [SEVERE ] removing player 1 token from slot 0
[16:06:28.102] [SEVERE ] player 1 placing token on slot 0
[16:06:28.103] [SEVERE ] removing player 1 token from slot 0
[16:06:28.104] [SEVERE ] player 1 placing token on slot 0
[16:06:28.105] [SEVERE ] removing player 1 token from slot 0
[16:06:28.106] [SEVERE ] player 1 placing token on slot 0
[16:06:28.108] [SEVERE ] removing player 1 token from slot 0
[16:06:28.110] [SEVERE ] player 1 placing token on slot 0
[16:06:28.113] [SEVERE ] removing player 1 token from slot 0
[16:06:28.115] [SEVERE ] player 1 placing token on slot 0
[16:06:28.116] [SEVERE ] removing player 1 token from slot 0
[16:06:28.119] [SEVERE ] player 1 placing token on slot 0
[16:06:28.121] [SEVERE ] removing player 1 token from slot 0
[16:06:28.122] [SEVERE ] player 1 placing token on slot 0
[16:06:28.126] [SEVERE ] removing player 1 token from slot 0
[16:06:28.128] [SEVERE ] player 1 placing token on slot 0
[16:06:28.129] [SEVERE ] removing player 1 token from slot 0
[16:06:28.130] [SEVERE ] player 1 placing token on slot 0
[16:06:28.132] [SEVERE ] removing player 1 token from slot 0
[16:06:28.133] [SEVERE ] player 1 placing token on slot 0
[16:06:28.134] [SEVERE ] removing player 1 token from slot 0
[16:06:28.135] [SEVERE ] player 1 placing token on slot 0
[16:06:28.137] [SEVERE ] removing player 1 token from slot 0
[16:06:28.138] [SEVERE ] player 1 placing token on slot 0
[16:06:28.139] [SEVERE ] removing player 1 token from slot 0
[16:06:28.142] [SEVERE ] player 1 placing token on slot 0
[16:06:28.143] [SEVERE ] removing player 1 token from slot 0
[16:06:28.145] [SEVERE ] player 1 placing token on slot 0
[16:06:28.147] [SEVERE ] removing player 1 token from slot 0
[16:06:28.148] [SEVERE ] player 1 placing token on slot 0
[16:06:28.149] [SEVERE ] removing player 1 token from slot 0
[16:06:28.150] [SEVERE ] player 1 placing token on slot 0
[16:06:28.152] [SEVERE ] removing player 1 token from slot 0
[16:06:28.152] [SEVERE ] player 1 placing token on slot 0
[16:06:28.154] [SEVERE ] removing player 1 token from slot 0
[16:06:28.156] [SEVERE ] player 1 placing token on slot 0
[16:06:28.157] [SEVERE ] removing player 1 token from slot 0
[16:06:28.159] [SEVERE ] player 1 placing token on slot 0
[16:06:28.162] [SEVERE ] placing card 1 in slot 1
[16:06:28.162] [SEVERE ] removing player 1 token from slot 0
[16:06:28.164] [SEVERE ] player 1 placing token on slot 1
[16:06:28.165] [SEVERE ] player 1 placing token on slot 0
[16:06:28.167] [SEVERE ] removing player 1 token from slot 1
[16:06:28.169] [SEVERE ] player 1 placing token on slot 1
[16:06:28.172] [SEVERE ] removing player 1 token from slot 0
[16:06:28.172] [SEVERE ] removing player 1 token from slot 1
[16:06:28.175] [SEVERE ] player 1 placing token on slot 1
[16:06:28.176] [SEVERE ] removing player 1 token from slot 1
[16:06:28.178] [SEVERE ] player 1 placing token on slot 0
[16:06:28.180] [SEVERE ] player 1 placing token on slot 1
[16:06:28.181] [SEVERE ] removing player 1 token from slot 1
[16:06:28.183] [SEVERE ] player 1 placing token on slot 1
[16:06:28.185] [SEVERE ] removing player 1 token from slot 0
[16:06:28.188] [SEVERE ] removing player 1 token from slot 1
[16:06:28.189] [SEVERE ] player 1 placing token on slot 1
[16:06:28.190] [SEVERE ] removing player 1 token from slot 1
[16:06:28.192] [SEVERE ] player 1 placing token on slot 0
[16:06:28.193] [SEVERE ] removing player 1 token from slot 0
[16:06:28.195] [SEVERE ] player 1 placing token on slot 1
[16:06:28.196] [SEVERE ] player 1 placing token on slot 0
[16:06:28.197] [SEVERE ] removing player 1 token from slot 1
[16:06:28.198] [SEVERE ] removing player 1 token from slot 0
[16:06:28.198] [SEVERE ] player 1 placing token on slot 0
[16:06:28.199] [SEVERE ] removing player 1 token from slot 0
[16:06:28.201] [SEVERE ] player 1 placing token on slot 1
[16:06:28.204] [SEVERE ] player 1 placing token on slot 0
[16:06:28.205] [SEVERE ] removing player 1 token from slot 0
[16:06:28.205] [SEVERE ] player 1 placing token on slot 0
[16:06:28.206] [SEVERE ] removing player 1 token from slot 1
[16:06:28.207] [SEVERE ] removing player 1 token from slot 0
[16:06:28.208] [SEVERE ] player 1 placing token on slot 0
[16:06:28.210] [SEVERE ] removing player 1 token from slot 0
[16:06:28.211] [SEVERE ] player 1 placing token on slot 1
[16:06:28.213] [SEVERE ] removing player 1 token from slot 1
[16:06:28.213] [SEVERE ] player 1 placing token on slot 1
[16:06:28.214] [SEVERE ] removing player 1 token from slot 1
[16:06:28.215] [SEVERE ] player 1 placing token on slot 1
[16:06:28.217] [SEVERE ] removing player 1 token from slot 1
[16:06:28.218] [SEVERE ] player 1 placing token on slot 0
[16:06:28.220] [SEVERE ] player 1 placing token on slot 1
[16:06:28.220] [SEVERE ] removing player 1 token from slot 1
[16:06:28.222] [SEVERE ] player 1 placing token on slot 1
[16:06:28.223] [SEVERE ] removing player 1 token from slot 0
[16:06:28.225] [SEVERE ] player 1 placing token on slot 0
[16:06:28.226] [SEVERE ] removing player 1 token from slot 0
[16:06:28.228] [SEVERE ] removing player 1 token from slot 1
[16:06:28.229] [SEVERE ] player 1 placing token on slot 0
[16:06:28.231] [SEVERE ] player 1 placing token on slot 1
[16:06:28.232] [SEVERE ] removing player 1 token from slot 0
[16:06:28.234] [SEVERE ] removing player 1 token from slot 1
[16:06:28.235] [SEVERE ] player 1 placing token on slot 0
[16:06:28.236] [SEVERE ] player 1 placing token on slot 1
[16:06:28.237] [SEVERE ] removing player 1 token from slot 1
[16:06:28.237] [SEVERE ] player 1 placing token on slot 1
[16:06:28.238] [SEVERE ] removing player 1 token from slot 0
[16:06:28.239] [SEVERE ] player 1 placing token on slot 0
[16:06:28.240] [SEVERE ] removing player 1 token from slot 1
[16:06:28.242] [SEVERE ] removing player 1 token from slot 0
[16:06:28.243] [SEVERE ] player 1 placing token on slot 1
[16:06:28.245] [SEVERE ] removing player 1 token from slot 1
[16:06:28.246] [SEVERE ] player 1 placing token on slot 0
[16:06:28.247] [SEVERE ] player 1 placing token on slot 1
[16:06:28.250] [SEVERE ] removing player 1 token from slot 1
[16:06:28.251] [SEVERE ] player 1 placing token on slot 1
[16:06:28.252] [SEVERE ] removing player 1 token from slot 0
[16:06:28.253] [SEVERE ] player 1 placing token on slot 0
[16:06:28.253] [SEVERE ] removing player 1 token from slot 1
[16:06:28.254] [SEVERE ] removing player 1 token from slot 0
[16:06:28.255] [SEVERE ] player 1 placing token on slot 1
[16:06:28.256] [SEVERE ] player 1 placing token on slot 0
[16:06:28.257] [SEVERE ] removing player 1 token from slot 0
[16:06:28.259] [SEVERE ] player 1 placing token on slot 0
[16:06:28.260] [SEVERE ] removing player 1 token from slot 0
[16:06:28.261] [SEVERE ] player 1 placing token on slot 0
[16:06:28.263] [SEVERE ] removing player 1 token from slot 0
[16:06:28.263] [SEVERE ] placing card 2 in slot 2
