[16:49:51.968] [INFO   ] thread bguspl.set.Main.main() starting.
[16:49:51.985] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:49:51.991] [SEVERE ] configuration file was loaded from resources directory.
[16:49:53.019] [INFO   ] thread dealer starting.
[16:49:53.020] [INFO   ] thread dealer starting.
[16:49:53.021] [INFO   ] thread player 0 starting.
[16:49:53.022] [INFO   ] thread player 0 starting.
[16:49:53.023] [INFO   ] thread computer-0 starting.
[16:49:53.124] [SEVERE ] placing card 0 in slot 0
[16:49:53.125] [SEVERE ] player 1 placing token on slot 0
[16:49:53.127] [SEVERE ] removing player 1 token from slot 0
[16:49:53.128] [SEVERE ] player 1 placing token on slot 0
[16:49:53.129] [SEVERE ] removing player 1 token from slot 0
[16:49:53.132] [SEVERE ] player 1 placing token on slot 0
[16:49:53.134] [SEVERE ] removing player 1 token from slot 0
[16:49:53.138] [SEVERE ] player 1 placing token on slot 0
[16:49:53.139] [SEVERE ] removing player 1 token from slot 0
[16:49:53.142] [SEVERE ] player 1 placing token on slot 0
[16:49:53.144] [SEVERE ] removing player 1 token from slot 0
[16:49:53.147] [SEVERE ] player 1 placing token on slot 0
[16:49:53.148] [SEVERE ] removing player 1 token from slot 0
[16:49:53.150] [SEVERE ] player 1 placing token on slot 0
[16:49:53.154] [SEVERE ] removing player 1 token from slot 0
[16:49:53.155] [SEVERE ] player 1 placing token on slot 0
[16:49:53.156] [SEVERE ] removing player 1 token from slot 0
[16:49:53.157] [SEVERE ] player 1 placing token on slot 0
[16:49:53.157] [SEVERE ] removing player 1 token from slot 0
[16:49:53.160] [SEVERE ] player 1 placing token on slot 0
[16:49:53.161] [SEVERE ] removing player 1 token from slot 0
[16:49:53.163] [SEVERE ] player 1 placing token on slot 0
[16:49:53.165] [SEVERE ] removing player 1 token from slot 0
[16:49:53.169] [SEVERE ] player 1 placing token on slot 0
[16:49:53.170] [SEVERE ] removing player 1 token from slot 0
[16:49:53.171] [SEVERE ] player 1 placing token on slot 0
[16:49:53.171] [SEVERE ] removing player 1 token from slot 0
[16:49:53.172] [SEVERE ] player 1 placing token on slot 0
[16:49:53.175] [SEVERE ] removing player 1 token from slot 0
[16:49:53.176] [SEVERE ] player 1 placing token on slot 0
[16:49:53.178] [SEVERE ] removing player 1 token from slot 0
[16:49:53.180] [SEVERE ] player 1 placing token on slot 0
[16:49:53.182] [SEVERE ] removing player 1 token from slot 0
[16:49:53.183] [SEVERE ] player 1 placing token on slot 0
[16:49:53.188] [SEVERE ] removing player 1 token from slot 0
[16:49:53.189] [SEVERE ] player 1 placing token on slot 0
[16:49:53.190] [SEVERE ] removing player 1 token from slot 0
[16:49:53.192] [SEVERE ] player 1 placing token on slot 0
[16:49:53.194] [SEVERE ] removing player 1 token from slot 0
[16:49:53.195] [SEVERE ] player 1 placing token on slot 0
[16:49:53.197] [SEVERE ] removing player 1 token from slot 0
[16:49:53.200] [SEVERE ] player 1 placing token on slot 0
[16:49:53.202] [SEVERE ] removing player 1 token from slot 0
[16:49:53.204] [SEVERE ] player 1 placing token on slot 0
[16:49:53.206] [SEVERE ] removing player 1 token from slot 0
[16:49:53.208] [SEVERE ] player 1 placing token on slot 0
[16:49:53.209] [SEVERE ] removing player 1 token from slot 0
[16:49:53.211] [SEVERE ] player 1 placing token on slot 0
[16:49:53.213] [SEVERE ] removing player 1 token from slot 0
[16:49:53.214] [SEVERE ] player 1 placing token on slot 0
[16:49:53.215] [SEVERE ] removing player 1 token from slot 0
[16:49:53.216] [SEVERE ] player 1 placing token on slot 0
[16:49:53.219] [SEVERE ] removing player 1 token from slot 0
[16:49:53.221] [SEVERE ] player 1 placing token on slot 0
[16:49:53.222] [SEVERE ] removing player 1 token from slot 0
[16:49:53.225] [SEVERE ] player 1 placing token on slot 0
[16:49:53.225] [SEVERE ] placing card 1 in slot 1
[16:49:53.227] [SEVERE ] player 1 placing token on slot 1
[16:49:53.228] [SEVERE ] removing player 1 token from slot 1
[16:49:53.229] [SEVERE ] removing player 1 token from slot 0
[16:49:53.229] [SEVERE ] player 1 placing token on slot 0
[16:49:53.231] [SEVERE ] player 1 placing token on slot 1
[16:49:53.232] [SEVERE ] removing player 1 token from slot 0
[16:49:53.233] [SEVERE ] removing player 1 token from slot 1
[16:49:53.244] [SEVERE ] player 1 placing token on slot 0
