[13:40:20.108] [INFO   ] thread bguspl.set.Main.main() starting.
[13:40:20.116] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:40:20.124] [SEVERE ] configuration file was loaded from resources directory.
[13:40:21.238] [INFO   ] thread dealer starting.
[13:40:21.238] [INFO   ] thread dealer starting.
[13:40:21.239] [INFO   ] thread player 0 starting.
[13:40:21.240] [INFO   ] thread player 1 starting.
[13:40:21.240] [INFO   ] thread player 0 starting.
[13:40:21.240] [INFO   ] thread player 1 starting.
[13:40:21.344] [SEVERE ] placing card 0 in slot 0
[13:40:21.445] [SEVERE ] placing card 1 in slot 1
[13:40:21.546] [SEVERE ] placing card 2 in slot 2
[13:40:21.647] [SEVERE ] placing card 3 in slot 3
[13:40:21.748] [SEVERE ] placing card 4 in slot 4
[13:40:21.849] [SEVERE ] placing card 5 in slot 5
[13:40:21.950] [SEVERE ] placing card 6 in slot 6
[13:40:22.052] [SEVERE ] placing card 7 in slot 7
[13:40:22.153] [SEVERE ] placing card 8 in slot 8
[13:40:22.254] [SEVERE ] placing card 9 in slot 9
[13:40:22.356] [SEVERE ] placing card 10 in slot 10
[13:40:22.458] [SEVERE ] placing card 11 in slot 11
[13:40:22.470] [SEVERE ] updating countdown to 58745
[13:40:22.481] [SEVERE ] updating countdown to 58733
[13:40:22.492] [SEVERE ] updating countdown to 58722
[13:40:22.503] [SEVERE ] updating countdown to 58711
[13:40:22.514] [SEVERE ] updating countdown to 58700
[13:40:22.525] [SEVERE ] updating countdown to 58689
[13:40:22.536] [SEVERE ] updating countdown to 58678
[13:40:22.547] [SEVERE ] updating countdown to 58667
[13:40:22.559] [SEVERE ] updating countdown to 58655
[13:40:22.569] [SEVERE ] updating countdown to 58645
[13:40:22.580] [SEVERE ] updating countdown to 58634
[13:40:22.591] [SEVERE ] updating countdown to 58623
[13:40:22.602] [SEVERE ] updating countdown to 58612
[13:40:22.613] [SEVERE ] updating countdown to 58601
[13:40:22.624] [SEVERE ] updating countdown to 58590
[13:40:22.635] [SEVERE ] updating countdown to 58579
[13:40:22.646] [SEVERE ] updating countdown to 58568
[13:40:22.657] [SEVERE ] updating countdown to 58557
[13:40:22.668] [SEVERE ] updating countdown to 58546
[13:40:22.679] [SEVERE ] updating countdown to 58535
[13:40:22.690] [SEVERE ] updating countdown to 58525
[13:40:22.700] [SEVERE ] updating countdown to 58514
[13:40:22.711] [SEVERE ] updating countdown to 58503
[13:40:22.722] [SEVERE ] updating countdown to 58492
[13:40:22.733] [SEVERE ] updating countdown to 58481
[13:40:22.744] [SEVERE ] updating countdown to 58470
[13:40:22.755] [SEVERE ] updating countdown to 58459
[13:40:22.766] [SEVERE ] updating countdown to 58448
[13:40:22.778] [SEVERE ] updating countdown to 58436
[13:40:22.789] [SEVERE ] updating countdown to 58425
[13:40:22.801] [SEVERE ] updating countdown to 58413
[13:40:22.812] [SEVERE ] updating countdown to 58402
[13:40:22.823] [SEVERE ] updating countdown to 58391
[13:40:22.834] [SEVERE ] updating countdown to 58380
[13:40:22.844] [SEVERE ] updating countdown to 58370
[13:40:22.855] [SEVERE ] updating countdown to 58359
[13:40:22.867] [SEVERE ] updating countdown to 58347
[13:40:22.878] [SEVERE ] updating countdown to 58336
[13:40:22.888] [SEVERE ] updating countdown to 58326
[13:40:22.899] [SEVERE ] updating countdown to 58315
[13:40:22.911] [SEVERE ] updating countdown to 58303
[13:40:22.922] [SEVERE ] updating countdown to 58292
[13:40:22.933] [SEVERE ] updating countdown to 58281
[13:40:22.944] [SEVERE ] updating countdown to 58270
[13:40:22.955] [SEVERE ] updating countdown to 58259
[13:40:22.966] [SEVERE ] updating countdown to 58248
[13:40:22.977] [SEVERE ] updating countdown to 58237
[13:40:22.988] [SEVERE ] updating countdown to 58226
[13:40:22.998] [SEVERE ] updating countdown to 58216
[13:40:23.009] [SEVERE ] updating countdown to 58205
[13:40:23.020] [SEVERE ] updating countdown to 58194
[13:40:23.031] [SEVERE ] updating countdown to 58183
[13:40:23.042] [SEVERE ] updating countdown to 58172
[13:40:23.053] [SEVERE ] updating countdown to 58161
[13:40:23.064] [SEVERE ] updating countdown to 58150
[13:40:23.075] [SEVERE ] updating countdown to 58139
[13:40:23.086] [SEVERE ] updating countdown to 58128
[13:40:23.097] [SEVERE ] updating countdown to 58117
[13:40:23.108] [SEVERE ] updating countdown to 58106
[13:40:23.119] [SEVERE ] updating countdown to 58095
[13:40:23.130] [SEVERE ] updating countdown to 58084
[13:40:23.141] [SEVERE ] updating countdown to 58074
