[13:46:43.244] [INFO   ] thread bguspl.set.Main.main() starting.
[13:46:43.253] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:46:43.262] [SEVERE ] configuration file was loaded from resources directory.
[13:46:44.305] [INFO   ] thread dealer starting.
[13:46:44.306] [INFO   ] thread dealer starting.
[13:46:44.307] [INFO   ] thread player 0 starting.
[13:46:44.307] [INFO   ] thread player 1 starting.
[13:46:44.307] [INFO   ] thread player 0 starting.
[13:46:44.308] [INFO   ] thread player 1 starting.
[13:46:44.410] [SEVERE ] placing card 0 in slot 0
[13:46:44.511] [SEVERE ] placing card 1 in slot 1
[13:46:44.613] [SEVERE ] placing card 2 in slot 2
[13:46:44.714] [SEVERE ] placing card 3 in slot 3
[13:46:44.815] [SEVERE ] placing card 4 in slot 4
[13:46:44.928] [SEVERE ] placing card 5 in slot 5
[13:46:45.030] [SEVERE ] placing card 6 in slot 6
[13:46:45.132] [SEVERE ] placing card 7 in slot 7
[13:46:45.233] [SEVERE ] placing card 8 in slot 8
[13:46:45.335] [SEVERE ] placing card 9 in slot 9
[13:46:45.436] [SEVERE ] placing card 10 in slot 10
[13:46:45.538] [SEVERE ] placing card 11 in slot 11
[13:46:45.549] [SEVERE ] updating countdown to 58748
[13:46:45.561] [SEVERE ] updating countdown to 58736
[13:46:45.572] [SEVERE ] updating countdown to 58725
[13:46:45.583] [SEVERE ] updating countdown to 58714
[13:46:45.595] [SEVERE ] updating countdown to 58702
[13:46:45.606] [SEVERE ] updating countdown to 58691
[13:46:45.617] [SEVERE ] updating countdown to 58680
[13:46:45.628] [SEVERE ] updating countdown to 58669
[13:46:45.640] [SEVERE ] updating countdown to 58657
[13:46:45.652] [SEVERE ] updating countdown to 58645
[13:46:45.663] [SEVERE ] updating countdown to 58634
[13:46:45.675] [SEVERE ] updating countdown to 58622
[13:46:45.687] [SEVERE ] updating countdown to 58610
[13:46:45.698] [SEVERE ] updating countdown to 58599
[13:46:45.710] [SEVERE ] updating countdown to 58587
[13:46:45.721] [SEVERE ] updating countdown to 58576
[13:46:45.733] [SEVERE ] updating countdown to 58564
[13:46:45.744] [SEVERE ] updating countdown to 58553
[13:46:45.756] [SEVERE ] updating countdown to 58541
[13:46:45.767] [SEVERE ] updating countdown to 58530
[13:46:45.779] [SEVERE ] updating countdown to 58518
[13:46:45.791] [SEVERE ] updating countdown to 58506
[13:46:45.803] [SEVERE ] updating countdown to 58494
[13:46:45.815] [SEVERE ] updating countdown to 58482
[13:46:45.826] [SEVERE ] updating countdown to 58471
[13:46:45.837] [SEVERE ] updating countdown to 58460
[13:46:45.848] [SEVERE ] updating countdown to 58449
[13:46:45.859] [SEVERE ] updating countdown to 58438
[13:46:45.870] [SEVERE ] updating countdown to 58427
[13:46:45.881] [SEVERE ] updating countdown to 58416
[13:46:45.893] [SEVERE ] updating countdown to 58404
[13:46:45.904] [SEVERE ] updating countdown to 58393
[13:46:45.914] [SEVERE ] updating countdown to 58383
[13:46:45.925] [SEVERE ] updating countdown to 58372
[13:46:45.936] [SEVERE ] updating countdown to 58361
[13:46:45.947] [SEVERE ] updating countdown to 58350
[13:46:45.958] [SEVERE ] updating countdown to 58339
[13:46:45.968] [SEVERE ] updating countdown to 58329
[13:46:45.979] [SEVERE ] updating countdown to 58318
[13:46:45.990] [SEVERE ] updating countdown to 58307
[13:46:46.001] [SEVERE ] updating countdown to 58296
[13:46:46.011] [SEVERE ] updating countdown to 58286
[13:46:46.022] [SEVERE ] updating countdown to 58275
[13:46:46.034] [SEVERE ] updating countdown to 58263
[13:46:46.044] [SEVERE ] updating countdown to 58253
[13:46:46.055] [SEVERE ] updating countdown to 58242
[13:46:46.066] [SEVERE ] updating countdown to 58231
[13:46:46.076] [SEVERE ] updating countdown to 58221
[13:46:46.087] [SEVERE ] updating countdown to 58210
[13:46:46.098] [SEVERE ] updating countdown to 58199
[13:46:46.109] [SEVERE ] updating countdown to 58188
[13:46:46.120] [SEVERE ] updating countdown to 58177
[13:46:46.131] [SEVERE ] updating countdown to 58166
[13:46:46.143] [SEVERE ] updating countdown to 58154
[13:46:46.154] [SEVERE ] updating countdown to 58143
[13:46:46.166] [SEVERE ] updating countdown to 58131
[13:46:46.178] [SEVERE ] updating countdown to 58119
[13:46:46.189] [SEVERE ] updating countdown to 58108
[13:46:46.200] [SEVERE ] updating countdown to 58097
[13:46:46.212] [SEVERE ] updating countdown to 58085
[13:46:46.224] [SEVERE ] updating countdown to 58073
[13:46:46.236] [SEVERE ] updating countdown to 58061
[13:46:46.249] [SEVERE ] updating countdown to 58049
[13:46:46.260] [SEVERE ] updating countdown to 58037
[13:46:46.272] [SEVERE ] updating countdown to 58025
[13:46:46.285] [SEVERE ] updating countdown to 58013
[13:46:46.296] [SEVERE ] updating countdown to 58001
[13:46:46.307] [SEVERE ] updating countdown to 57990
[13:46:46.319] [SEVERE ] updating countdown to 57978
[13:46:46.330] [SEVERE ] updating countdown to 57967
[13:46:46.341] [SEVERE ] updating countdown to 57956
[13:46:46.352] [SEVERE ] updating countdown to 57945
[13:46:46.363] [SEVERE ] updating countdown to 57934
[13:46:46.374] [SEVERE ] updating countdown to 57923
[13:46:46.385] [SEVERE ] updating countdown to 57912
[13:46:46.397] [SEVERE ] updating countdown to 57900
[13:46:46.408] [SEVERE ] updating countdown to 57889
[13:46:46.420] [SEVERE ] updating countdown to 57877
[13:46:46.432] [SEVERE ] updating countdown to 57866
[13:46:46.443] [SEVERE ] updating countdown to 57854
[13:46:46.455] [SEVERE ] updating countdown to 57842
[13:46:46.467] [SEVERE ] updating countdown to 57830
[13:46:46.478] [SEVERE ] updating countdown to 57819
[13:46:46.490] [SEVERE ] updating countdown to 57807
[13:46:46.502] [SEVERE ] updating countdown to 57796
[13:46:46.513] [SEVERE ] updating countdown to 57784
[13:46:46.525] [SEVERE ] updating countdown to 57772
[13:46:46.538] [SEVERE ] updating countdown to 57759
[13:46:46.555] [SEVERE ] updating countdown to 57742
[13:46:46.565] [SEVERE ] updating countdown to 57732
[13:46:46.576] [SEVERE ] updating countdown to 57721
[13:46:46.587] [SEVERE ] updating countdown to 57710
[13:46:46.598] [SEVERE ] updating countdown to 57699
[13:46:46.609] [SEVERE ] updating countdown to 57688
[13:46:46.620] [SEVERE ] updating countdown to 57677
[13:46:46.631] [SEVERE ] updating countdown to 57666
[13:46:46.642] [SEVERE ] updating countdown to 57655
[13:46:46.653] [SEVERE ] updating countdown to 57644
[13:46:46.663] [SEVERE ] updating countdown to 57634
[13:46:46.674] [SEVERE ] updating countdown to 57623
[13:46:46.686] [SEVERE ] updating countdown to 57612
[13:46:46.697] [SEVERE ] updating countdown to 57600
[13:46:46.708] [SEVERE ] updating countdown to 57589
[13:46:46.720] [SEVERE ] updating countdown to 57577
[13:46:46.730] [SEVERE ] updating countdown to 57567
[13:46:46.741] [SEVERE ] updating countdown to 57556
[13:46:46.752] [SEVERE ] updating countdown to 57545
[13:46:46.763] [SEVERE ] updating countdown to 57534
[13:46:46.774] [SEVERE ] updating countdown to 57523
[13:46:46.786] [SEVERE ] updating countdown to 57511
[13:46:46.797] [SEVERE ] updating countdown to 57500
[13:46:46.808] [SEVERE ] updating countdown to 57489
[13:46:46.820] [SEVERE ] updating countdown to 57477
[13:46:46.831] [SEVERE ] updating countdown to 57466
[13:46:46.842] [SEVERE ] updating countdown to 57455
[13:46:46.854] [SEVERE ] updating countdown to 57443
[13:46:46.865] [SEVERE ] updating countdown to 57432
[13:46:46.877] [SEVERE ] updating countdown to 57420
[13:46:46.888] [SEVERE ] updating countdown to 57409
[13:46:46.899] [SEVERE ] updating countdown to 57398
[13:46:46.911] [SEVERE ] updating countdown to 57386
[13:46:46.922] [SEVERE ] updating countdown to 57375
[13:46:46.934] [SEVERE ] updating countdown to 57363
[13:46:46.945] [SEVERE ] updating countdown to 57352
[13:46:46.957] [SEVERE ] updating countdown to 57340
[13:46:46.968] [SEVERE ] updating countdown to 57329
[13:46:46.979] [SEVERE ] updating countdown to 57318
[13:46:46.991] [SEVERE ] updating countdown to 57306
[13:46:47.002] [SEVERE ] updating countdown to 57295
[13:46:47.014] [SEVERE ] updating countdown to 57283
