[13:50:46.991] [INFO   ] thread bguspl.set.Main.main() starting.
[13:50:46.997] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:50:47.001] [SEVERE ] configuration file was loaded from resources directory.
[13:50:48.106] [INFO   ] thread dealer starting.
[13:50:48.107] [INFO   ] thread dealer starting.
[13:50:48.108] [INFO   ] thread player 0 starting.
[13:50:48.109] [INFO   ] thread player 1 starting.
[13:50:48.109] [INFO   ] thread player 0 starting.
[13:50:48.112] [INFO   ] thread player 1 starting.
[13:50:48.216] [SEVERE ] placing card 0 in slot 0
[13:50:48.318] [SEVERE ] placing card 1 in slot 1
[13:50:48.419] [SEVERE ] placing card 2 in slot 2
[13:50:48.521] [SEVERE ] placing card 3 in slot 3
[13:50:48.623] [SEVERE ] placing card 4 in slot 4
[13:50:48.725] [SEVERE ] placing card 5 in slot 5
[13:50:48.827] [SEVERE ] placing card 6 in slot 6
[13:50:48.929] [SEVERE ] placing card 7 in slot 7
[13:50:49.066] [SEVERE ] placing card 8 in slot 8
[13:50:49.168] [SEVERE ] placing card 9 in slot 9
[13:50:49.270] [SEVERE ] placing card 10 in slot 10
[13:50:49.372] [SEVERE ] placing card 11 in slot 11
[13:50:49.383] [SEVERE ] updating countdown to 58701
[13:50:49.395] [SEVERE ] updating countdown to 58689
[13:50:49.406] [SEVERE ] updating countdown to 58678
[13:50:49.417] [SEVERE ] updating countdown to 58667
[13:50:49.428] [SEVERE ] updating countdown to 58656
[13:50:49.440] [SEVERE ] updating countdown to 58645
[13:50:49.451] [SEVERE ] updating countdown to 58633
[13:50:49.463] [SEVERE ] updating countdown to 58622
[13:50:49.474] [SEVERE ] updating countdown to 58610
[13:50:49.486] [SEVERE ] updating countdown to 58598
[13:50:49.497] [SEVERE ] updating countdown to 58587
[13:50:49.509] [SEVERE ] updating countdown to 58575
[13:50:49.521] [SEVERE ] updating countdown to 58563
[13:50:49.532] [SEVERE ] updating countdown to 58552
[13:50:49.544] [SEVERE ] updating countdown to 58541
[13:50:49.555] [SEVERE ] updating countdown to 58529
[13:50:49.567] [SEVERE ] updating countdown to 58517
[13:50:49.579] [SEVERE ] updating countdown to 58505
[13:50:49.591] [SEVERE ] updating countdown to 58493
[13:50:49.603] [SEVERE ] updating countdown to 58481
[13:50:49.616] [SEVERE ] updating countdown to 58468
[13:50:49.628] [SEVERE ] updating countdown to 58456
[13:50:49.639] [SEVERE ] updating countdown to 58445
[13:50:49.652] [SEVERE ] updating countdown to 58432
[13:50:49.664] [SEVERE ] updating countdown to 58420
[13:50:49.675] [SEVERE ] updating countdown to 58409
[13:50:49.687] [SEVERE ] updating countdown to 58397
[13:50:49.698] [SEVERE ] updating countdown to 58386
[13:50:49.709] [SEVERE ] updating countdown to 58375
[13:50:49.721] [SEVERE ] updating countdown to 58363
[13:50:49.733] [SEVERE ] updating countdown to 58351
[13:50:49.744] [SEVERE ] updating countdown to 58340
[13:50:49.756] [SEVERE ] updating countdown to 58328
[13:50:49.767] [SEVERE ] updating countdown to 58317
[13:50:49.779] [SEVERE ] updating countdown to 58305
[13:50:49.790] [SEVERE ] updating countdown to 58294
[13:50:49.802] [SEVERE ] updating countdown to 58282
[13:50:49.814] [SEVERE ] updating countdown to 58270
[13:50:49.825] [SEVERE ] updating countdown to 58259
[13:50:49.837] [SEVERE ] updating countdown to 58247
[13:50:49.848] [SEVERE ] updating countdown to 58236
[13:50:49.860] [SEVERE ] updating countdown to 58225
[13:50:49.871] [SEVERE ] updating countdown to 58213
[13:50:49.883] [SEVERE ] updating countdown to 58201
[13:50:49.895] [SEVERE ] updating countdown to 58189
[13:50:49.907] [SEVERE ] updating countdown to 58177
[13:50:49.921] [SEVERE ] updating countdown to 58163
[13:50:49.932] [SEVERE ] updating countdown to 58152
[13:50:49.943] [SEVERE ] updating countdown to 58141
[13:50:49.954] [SEVERE ] updating countdown to 58130
[13:50:49.965] [SEVERE ] updating countdown to 58119
[13:50:49.977] [SEVERE ] updating countdown to 58107
[13:50:49.988] [SEVERE ] updating countdown to 58096
[13:50:50.000] [SEVERE ] updating countdown to 58084
[13:50:50.012] [SEVERE ] updating countdown to 58072
[13:50:50.023] [SEVERE ] updating countdown to 58061
[13:50:50.034] [SEVERE ] updating countdown to 58050
[13:50:50.046] [SEVERE ] updating countdown to 58038
