[20:03:31.792] [INFO   ] thread bguspl.set.Main.main() starting.
[20:03:31.811] [SEVERE ] cannot read configuration file config.properties trying from resources.
[20:03:31.824] [SEVERE ] configuration file was loaded from resources directory.
[20:03:33.408] [INFO   ] thread dealer starting.
[20:03:33.409] [INFO   ] thread dealer starting.
[20:03:33.410] [INFO   ] thread player 0 starting.
[20:03:33.411] [INFO   ] thread player 1 starting.
[20:03:33.411] [INFO   ] thread player 0 starting.
[20:03:33.412] [INFO   ] thread player 1 starting.
[20:03:33.525] [SEVERE ] placing card 0 in slot 0
[20:03:33.627] [SEVERE ] placing card 1 in slot 1
[20:03:33.728] [SEVERE ] placing card 2 in slot 2
[20:03:33.829] [SEVERE ] placing card 3 in slot 3
[20:03:33.930] [SEVERE ] placing card 4 in slot 4
[20:03:34.032] [SEVERE ] placing card 5 in slot 5
[20:03:34.137] [SEVERE ] placing card 6 in slot 6
[20:03:34.238] [SEVERE ] placing card 7 in slot 7
[20:03:34.341] [SEVERE ] placing card 8 in slot 8
[20:03:34.442] [SEVERE ] placing card 9 in slot 9
[20:03:34.543] [SEVERE ] placing card 10 in slot 10
[20:03:34.645] [SEVERE ] placing card 11 in slot 11
[20:03:34.656] [SEVERE ] updating countdown to 58734
[20:03:34.668] [SEVERE ] updating countdown to 58722
[20:03:34.681] [SEVERE ] updating countdown to 58709
[20:03:34.692] [SEVERE ] updating countdown to 58698
[20:03:34.703] [SEVERE ] updating countdown to 58687
[20:03:34.714] [SEVERE ] updating countdown to 58676
[20:03:34.725] [SEVERE ] updating countdown to 58665
[20:03:34.737] [SEVERE ] updating countdown to 58653
[20:03:34.748] [SEVERE ] updating countdown to 58642
[20:03:34.759] [SEVERE ] updating countdown to 58632
[20:03:34.770] [SEVERE ] updating countdown to 58621
[20:03:34.780] [SEVERE ] updating countdown to 58610
[20:03:34.792] [SEVERE ] updating countdown to 58598
[20:03:34.803] [SEVERE ] updating countdown to 58587
[20:03:34.814] [SEVERE ] updating countdown to 58576
[20:03:34.825] [SEVERE ] updating countdown to 58565
[20:03:34.836] [SEVERE ] updating countdown to 58554
[20:03:34.847] [SEVERE ] updating countdown to 58543
[20:03:34.858] [SEVERE ] updating countdown to 58532
[20:03:34.869] [SEVERE ] updating countdown to 58521
[20:03:34.881] [SEVERE ] updating countdown to 58509
[20:03:34.891] [SEVERE ] updating countdown to 58499
[20:03:34.903] [SEVERE ] updating countdown to 58487
[20:03:34.915] [SEVERE ] updating countdown to 58475
[20:03:34.926] [SEVERE ] updating countdown to 58464
[20:03:34.937] [SEVERE ] updating countdown to 58453
[20:03:34.948] [SEVERE ] updating countdown to 58442
[20:03:34.959] [SEVERE ] updating countdown to 58431
[20:03:34.970] [SEVERE ] updating countdown to 58420
[20:03:34.981] [SEVERE ] updating countdown to 58409
[20:03:34.993] [SEVERE ] updating countdown to 58397
[20:03:35.004] [SEVERE ] updating countdown to 58386
[20:03:35.016] [SEVERE ] updating countdown to 58374
[20:03:35.027] [SEVERE ] updating countdown to 58363
[20:03:35.038] [SEVERE ] updating countdown to 58352
[20:03:35.049] [SEVERE ] updating countdown to 58341
[20:03:35.061] [SEVERE ] updating countdown to 58329
[20:03:35.072] [SEVERE ] updating countdown to 58318
[20:03:35.084] [SEVERE ] updating countdown to 58306
[20:03:35.096] [SEVERE ] updating countdown to 58294
[20:03:35.107] [SEVERE ] updating countdown to 58283
[20:03:35.119] [SEVERE ] updating countdown to 58272
[20:03:35.130] [SEVERE ] updating countdown to 58260
[20:03:35.141] [SEVERE ] updating countdown to 58249
[20:03:35.152] [SEVERE ] updating countdown to 58238
[20:03:35.163] [SEVERE ] updating countdown to 58227
[20:03:35.174] [SEVERE ] updating countdown to 58216
[20:03:35.185] [SEVERE ] updating countdown to 58205
[20:03:35.196] [SEVERE ] updating countdown to 58194
[20:03:35.207] [SEVERE ] updating countdown to 58183
[20:03:35.218] [SEVERE ] updating countdown to 58172
[20:03:35.230] [SEVERE ] updating countdown to 58160
[20:03:35.241] [SEVERE ] updating countdown to 58149
[20:03:35.253] [SEVERE ] updating countdown to 58137
[20:03:35.264] [SEVERE ] updating countdown to 58126
[20:03:35.275] [SEVERE ] updating countdown to 58115
[20:03:35.286] [SEVERE ] updating countdown to 58104
[20:03:35.297] [SEVERE ] updating countdown to 58093
[20:03:35.308] [SEVERE ] updating countdown to 58082
[20:03:35.318] [SEVERE ] updating countdown to 58072
[20:03:35.330] [SEVERE ] updating countdown to 58060
[20:03:35.342] [SEVERE ] updating countdown to 58049
[20:03:35.353] [SEVERE ] updating countdown to 58037
[20:03:35.365] [SEVERE ] updating countdown to 58025
[20:03:35.376] [SEVERE ] updating countdown to 58014
[20:03:35.387] [SEVERE ] updating countdown to 58004
[20:03:35.398] [SEVERE ] updating countdown to 57992
[20:03:35.409] [SEVERE ] updating countdown to 57981
[20:03:35.420] [SEVERE ] updating countdown to 57970
[20:03:35.431] [SEVERE ] updating countdown to 57959
[20:03:35.441] [SEVERE ] updating countdown to 57949
[20:03:35.452] [SEVERE ] updating countdown to 57938
[20:03:35.463] [SEVERE ] updating countdown to 57927
[20:03:35.474] [SEVERE ] updating countdown to 57916
[20:03:35.485] [SEVERE ] updating countdown to 57905
[20:03:35.496] [SEVERE ] updating countdown to 57894
[20:03:35.506] [SEVERE ] updating countdown to 57884
[20:03:35.517] [SEVERE ] updating countdown to 57873
[20:03:35.528] [SEVERE ] updating countdown to 57862
[20:03:35.539] [SEVERE ] updating countdown to 57851
[20:03:35.550] [SEVERE ] updating countdown to 57840
[20:03:35.562] [SEVERE ] updating countdown to 57828
[20:03:35.573] [SEVERE ] updating countdown to 57817
[20:03:35.585] [SEVERE ] updating countdown to 57806
[20:03:35.596] [SEVERE ] updating countdown to 57794
[20:03:35.607] [SEVERE ] updating countdown to 57783
[20:03:35.618] [SEVERE ] updating countdown to 57772
[20:03:35.629] [SEVERE ] updating countdown to 57761
[20:03:35.640] [SEVERE ] updating countdown to 57750
[20:03:35.651] [SEVERE ] updating countdown to 57739
[20:03:35.662] [SEVERE ] updating countdown to 57728
[20:03:35.673] [SEVERE ] updating countdown to 57717
[20:03:35.684] [SEVERE ] updating countdown to 57706
[20:03:35.695] [SEVERE ] updating countdown to 57695
[20:03:35.705] [SEVERE ] updating countdown to 57685
[20:03:35.717] [SEVERE ] updating countdown to 57674
[20:03:35.728] [SEVERE ] updating countdown to 57662
[20:03:35.739] [SEVERE ] updating countdown to 57651
[20:03:35.750] [SEVERE ] updating countdown to 57640
[20:03:35.762] [SEVERE ] updating countdown to 57628
[20:03:35.773] [SEVERE ] updating countdown to 57617
[20:03:35.784] [SEVERE ] updating countdown to 57606
[20:03:35.795] [SEVERE ] updating countdown to 57595
[20:03:35.806] [SEVERE ] updating countdown to 57584
[20:03:35.817] [SEVERE ] updating countdown to 57573
[20:03:35.828] [SEVERE ] updating countdown to 57562
[20:03:35.839] [SEVERE ] updating countdown to 57551
[20:03:35.850] [SEVERE ] updating countdown to 57540
[20:03:35.860] [SEVERE ] updating countdown to 57530
[20:03:35.871] [SEVERE ] updating countdown to 57519
[20:03:35.882] [SEVERE ] updating countdown to 57508
[20:03:35.892] [SEVERE ] updating countdown to 57498
[20:03:35.903] [SEVERE ] updating countdown to 57487
[20:03:35.914] [SEVERE ] updating countdown to 57476
[20:03:35.925] [SEVERE ] updating countdown to 57465
[20:03:35.935] [SEVERE ] updating countdown to 57455
[20:03:35.948] [SEVERE ] updating countdown to 57442
[20:03:35.959] [SEVERE ] updating countdown to 57431
[20:03:35.970] [SEVERE ] updating countdown to 57420
[20:03:35.981] [SEVERE ] updating countdown to 57409
[20:03:35.991] [SEVERE ] updating countdown to 57399
[20:03:36.002] [SEVERE ] updating countdown to 57388
[20:03:36.014] [SEVERE ] updating countdown to 57376
[20:03:36.025] [SEVERE ] updating countdown to 57365
[20:03:36.036] [SEVERE ] updating countdown to 57354
[20:03:36.047] [SEVERE ] updating countdown to 57343
[20:03:36.058] [SEVERE ] updating countdown to 57332
[20:03:36.069] [SEVERE ] updating countdown to 57321
[20:03:36.080] [SEVERE ] updating countdown to 57310
[20:03:36.091] [SEVERE ] updating countdown to 57299
[20:03:36.102] [SEVERE ] updating countdown to 57288
[20:03:36.113] [SEVERE ] updating countdown to 57277
