[16:33:06.622] [INFO   ] thread bguspl.set.Main.main() starting.
[16:33:06.632] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:33:06.640] [SEVERE ] configuration file was loaded from resources directory.
[16:33:07.829] [INFO   ] thread dealer starting.
[16:33:07.831] [INFO   ] thread dealer starting.
[16:33:07.831] [INFO   ] thread player 0 starting.
[16:33:07.832] [INFO   ] thread player 0 starting.
[16:33:07.835] [INFO   ] thread computer-0 starting.
[16:33:07.936] [SEVERE ] placing card 0 in slot 0
[16:33:07.939] [SEVERE ] player 1 placing token on slot 0
[16:33:07.943] [SEVERE ] removing player 1 token from slot 0
[16:33:07.945] [SEVERE ] player 1 placing token on slot 0
[16:33:07.946] [SEVERE ] removing player 1 token from slot 0
[16:33:07.947] [SEVERE ] player 1 placing token on slot 0
[16:33:07.948] [SEVERE ] removing player 1 token from slot 0
[16:33:07.950] [SEVERE ] player 1 placing token on slot 0
[16:33:07.952] [SEVERE ] removing player 1 token from slot 0
[16:33:07.954] [SEVERE ] player 1 placing token on slot 0
[16:33:07.955] [SEVERE ] removing player 1 token from slot 0
[16:33:07.955] [SEVERE ] player 1 placing token on slot 0
[16:33:07.957] [SEVERE ] removing player 1 token from slot 0
[16:33:07.958] [SEVERE ] player 1 placing token on slot 0
[16:33:07.959] [SEVERE ] removing player 1 token from slot 0
[16:33:07.961] [SEVERE ] player 1 placing token on slot 0
[16:33:07.963] [SEVERE ] removing player 1 token from slot 0
[16:33:07.965] [SEVERE ] player 1 placing token on slot 0
[16:33:07.965] [SEVERE ] removing player 1 token from slot 0
[16:33:07.966] [SEVERE ] player 1 placing token on slot 0
[16:33:07.969] [SEVERE ] removing player 1 token from slot 0
[16:33:07.971] [SEVERE ] player 1 placing token on slot 0
[16:33:07.972] [SEVERE ] removing player 1 token from slot 0
[16:33:07.973] [SEVERE ] player 1 placing token on slot 0
[16:33:07.974] [SEVERE ] removing player 1 token from slot 0
[16:33:07.975] [SEVERE ] player 1 placing token on slot 0
[16:33:07.977] [SEVERE ] removing player 1 token from slot 0
[16:33:07.979] [SEVERE ] player 1 placing token on slot 0
[16:33:07.980] [SEVERE ] removing player 1 token from slot 0
[16:33:07.980] [SEVERE ] player 1 placing token on slot 0
[16:33:07.981] [SEVERE ] removing player 1 token from slot 0
[16:33:07.982] [SEVERE ] player 1 placing token on slot 0
[16:33:07.984] [SEVERE ] removing player 1 token from slot 0
[16:33:07.987] [SEVERE ] player 1 placing token on slot 0
[16:33:07.991] [SEVERE ] removing player 1 token from slot 0
[16:33:07.993] [SEVERE ] player 1 placing token on slot 0
[16:33:07.996] [SEVERE ] removing player 1 token from slot 0
[16:33:07.997] [SEVERE ] player 1 placing token on slot 0
[16:33:07.998] [SEVERE ] removing player 1 token from slot 0
[16:33:07.999] [SEVERE ] player 1 placing token on slot 0
[16:33:08.003] [SEVERE ] removing player 1 token from slot 0
[16:33:08.005] [SEVERE ] player 1 placing token on slot 0
[16:33:08.006] [SEVERE ] removing player 1 token from slot 0
[16:33:08.007] [SEVERE ] player 1 placing token on slot 0
[16:33:08.008] [SEVERE ] removing player 1 token from slot 0
[16:33:08.009] [SEVERE ] player 1 placing token on slot 0
[16:33:08.012] [SEVERE ] removing player 1 token from slot 0
[16:33:08.013] [SEVERE ] player 1 placing token on slot 0
[16:33:08.014] [SEVERE ] removing player 1 token from slot 0
[16:33:08.016] [SEVERE ] player 1 placing token on slot 0
[16:33:08.018] [SEVERE ] removing player 1 token from slot 0
[16:33:08.020] [SEVERE ] player 1 placing token on slot 0
[16:33:08.021] [SEVERE ] removing player 1 token from slot 0
[16:33:08.022] [SEVERE ] player 1 placing token on slot 0
[16:33:08.024] [SEVERE ] removing player 1 token from slot 0
[16:33:08.025] [SEVERE ] player 1 placing token on slot 0
[16:33:08.027] [SEVERE ] removing player 1 token from slot 0
[16:33:08.029] [SEVERE ] player 1 placing token on slot 0
[16:33:08.032] [SEVERE ] removing player 1 token from slot 0
[16:33:08.034] [SEVERE ] player 1 placing token on slot 0
[16:33:08.038] [SEVERE ] placing card 1 in slot 1
[16:33:08.038] [SEVERE ] removing player 1 token from slot 0
[16:33:08.040] [SEVERE ] player 1 placing token on slot 0
[16:33:08.041] [SEVERE ] removing player 1 token from slot 0
[16:33:08.042] [SEVERE ] player 1 placing token on slot 0
[16:33:08.044] [SEVERE ] player 1 placing token on slot 1
[16:33:08.046] [SEVERE ] removing player 1 token from slot 1
[16:33:08.047] [SEVERE ] player 1 placing token on slot 1
[16:33:08.048] [SEVERE ] removing player 1 token from slot 0
[16:33:08.049] [SEVERE ] player 1 placing token on slot 0
[16:33:08.052] [SEVERE ] removing player 1 token from slot 0
[16:33:08.054] [SEVERE ] removing player 1 token from slot 1
[16:33:08.055] [SEVERE ] player 1 placing token on slot 1
[16:33:08.057] [SEVERE ] player 1 placing token on slot 0
[16:33:08.059] [SEVERE ] removing player 1 token from slot 1
[16:33:08.061] [SEVERE ] player 1 placing token on slot 1
[16:33:08.062] [SEVERE ] removing player 1 token from slot 1
[16:33:08.065] [SEVERE ] player 1 placing token on slot 1
[16:33:08.066] [SEVERE ] removing player 1 token from slot 0
[16:33:08.068] [SEVERE ] removing player 1 token from slot 1
[16:33:08.069] [SEVERE ] player 1 placing token on slot 1
[16:33:08.070] [SEVERE ] player 1 placing token on slot 0
[16:33:08.071] [SEVERE ] removing player 1 token from slot 1
[16:33:08.072] [SEVERE ] removing player 1 token from slot 0
[16:33:08.073] [SEVERE ] player 1 placing token on slot 1
[16:33:08.074] [SEVERE ] player 1 placing token on slot 0
[16:33:08.075] [SEVERE ] removing player 1 token from slot 1
[16:33:08.076] [SEVERE ] removing player 1 token from slot 0
