[16:17:18.050] [INFO   ] thread bguspl.set.Main.main() starting.
[16:17:18.061] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:17:18.070] [SEVERE ] configuration file was loaded from resources directory.
[16:17:19.535] [INFO   ] thread dealer starting.
[16:17:19.538] [INFO   ] thread dealer starting.
[16:17:19.539] [INFO   ] thread player 0 starting.
[16:17:19.540] [INFO   ] thread player 1 starting.
[16:17:19.540] [INFO   ] thread player 0 starting.
[16:17:19.541] [INFO   ] thread player 1 starting.
[16:17:19.646] [SEVERE ] placing card 0 in slot 0
[16:17:19.747] [SEVERE ] placing card 1 in slot 1
[16:17:19.848] [SEVERE ] placing card 2 in slot 2
[16:17:19.949] [SEVERE ] placing card 3 in slot 3
[16:17:20.050] [SEVERE ] placing card 4 in slot 4
[16:17:20.151] [SEVERE ] placing card 5 in slot 5
[16:17:20.252] [SEVERE ] placing card 6 in slot 6
[16:17:20.353] [SEVERE ] placing card 7 in slot 7
[16:17:20.454] [SEVERE ] placing card 8 in slot 8
[16:17:20.555] [SEVERE ] placing card 9 in slot 9
[16:17:20.657] [SEVERE ] placing card 10 in slot 10
[16:17:20.759] [SEVERE ] placing card 11 in slot 11
[16:17:20.770] [SEVERE ] updating countdown to 58724
[16:17:20.784] [SEVERE ] updating countdown to 58710
[16:17:20.795] [SEVERE ] updating countdown to 58700
[16:17:20.806] [SEVERE ] updating countdown to 58688
[16:17:20.817] [SEVERE ] updating countdown to 58677
[16:17:20.827] [SEVERE ] updating countdown to 58667
[16:17:20.838] [SEVERE ] updating countdown to 58656
[16:17:20.850] [SEVERE ] updating countdown to 58644
[16:17:20.861] [SEVERE ] updating countdown to 58634
[16:17:20.871] [SEVERE ] updating countdown to 58623
[16:17:20.882] [SEVERE ] updating countdown to 58612
[16:17:20.893] [SEVERE ] updating countdown to 58601
[16:17:20.904] [SEVERE ] updating countdown to 58590
[16:17:20.915] [SEVERE ] updating countdown to 58580
[16:17:20.925] [SEVERE ] updating countdown to 58569
[16:17:20.936] [SEVERE ] updating countdown to 58558
[16:17:20.947] [SEVERE ] updating countdown to 58547
[16:17:20.958] [SEVERE ] updating countdown to 58536
[16:17:20.969] [SEVERE ] updating countdown to 58525
[16:17:20.979] [SEVERE ] updating countdown to 58515
[16:17:20.990] [SEVERE ] updating countdown to 58504
[16:17:21.001] [SEVERE ] updating countdown to 58493
[16:17:21.012] [SEVERE ] updating countdown to 58482
[16:17:21.023] [SEVERE ] updating countdown to 58471
[16:17:21.034] [SEVERE ] updating countdown to 58460
[16:17:21.045] [SEVERE ] updating countdown to 58449
[16:17:21.056] [SEVERE ] updating countdown to 58438
[16:17:21.067] [SEVERE ] updating countdown to 58427
[16:17:21.079] [SEVERE ] updating countdown to 58415
[16:17:21.090] [SEVERE ] updating countdown to 58404
[16:17:21.101] [SEVERE ] updating countdown to 58393
[16:17:21.113] [SEVERE ] updating countdown to 58381
[16:17:21.124] [SEVERE ] updating countdown to 58371
[16:17:21.134] [SEVERE ] updating countdown to 58360
[16:17:21.145] [SEVERE ] updating countdown to 58349
[16:17:21.156] [SEVERE ] updating countdown to 58338
[16:17:21.167] [SEVERE ] updating countdown to 58327
[16:17:21.178] [SEVERE ] updating countdown to 58316
[16:17:21.189] [SEVERE ] updating countdown to 58305
[16:17:21.200] [SEVERE ] updating countdown to 58294
[16:17:21.211] [SEVERE ] updating countdown to 58284
[16:17:21.221] [SEVERE ] updating countdown to 58273
[16:17:21.232] [SEVERE ] updating countdown to 58262
[16:17:21.243] [SEVERE ] updating countdown to 58251
[16:17:21.254] [SEVERE ] updating countdown to 58240
[16:17:21.265] [SEVERE ] updating countdown to 58229
[16:17:21.276] [SEVERE ] updating countdown to 58218
[16:17:21.287] [SEVERE ] updating countdown to 58208
[16:17:21.297] [SEVERE ] updating countdown to 58197
[16:17:21.309] [SEVERE ] updating countdown to 58185
[16:17:21.320] [SEVERE ] updating countdown to 58174
[16:17:21.331] [SEVERE ] updating countdown to 58163
[16:17:21.341] [SEVERE ] updating countdown to 58153
[16:17:21.352] [SEVERE ] updating countdown to 58142
[16:17:21.363] [SEVERE ] updating countdown to 58131
