[16:00:17.157] [INFO   ] thread bguspl.set.Main.main() starting.
[16:00:17.167] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:00:17.174] [SEVERE ] configuration file was loaded from resources directory.
[16:00:18.393] [INFO   ] thread dealer starting.
[16:00:18.405] [INFO   ] thread dealer starting.
[16:00:18.406] [INFO   ] thread player 0 starting.
[16:00:18.407] [INFO   ] thread player 0 starting.
[16:00:18.409] [INFO   ] thread computer-0 starting.
[16:00:18.511] [SEVERE ] placing card 0 in slot 0
[16:00:18.511] [SEVERE ] player 1 placing token on slot 0
[16:00:18.513] [SEVERE ] removing player 1 token from slot 0
[16:00:18.517] [SEVERE ] player 1 placing token on slot 0
[16:00:18.519] [SEVERE ] removing player 1 token from slot 0
[16:00:18.522] [SEVERE ] player 1 placing token on slot 0
[16:00:18.526] [SEVERE ] removing player 1 token from slot 0
[16:00:18.528] [SEVERE ] player 1 placing token on slot 0
[16:00:18.529] [SEVERE ] removing player 1 token from slot 0
[16:00:18.533] [SEVERE ] player 1 placing token on slot 0
[16:00:18.534] [SEVERE ] removing player 1 token from slot 0
[16:00:18.534] [SEVERE ] player 1 placing token on slot 0
[16:00:18.536] [SEVERE ] removing player 1 token from slot 0
[16:00:18.539] [SEVERE ] player 1 placing token on slot 0
[16:00:18.540] [SEVERE ] removing player 1 token from slot 0
[16:00:18.541] [SEVERE ] player 1 placing token on slot 0
[16:00:18.542] [SEVERE ] removing player 1 token from slot 0
[16:00:18.544] [SEVERE ] player 1 placing token on slot 0
[16:00:18.545] [SEVERE ] removing player 1 token from slot 0
[16:00:18.546] [SEVERE ] player 1 placing token on slot 0
[16:00:18.548] [SEVERE ] removing player 1 token from slot 0
[16:00:18.549] [SEVERE ] player 1 placing token on slot 0
[16:00:18.550] [SEVERE ] removing player 1 token from slot 0
[16:00:18.550] [SEVERE ] player 1 placing token on slot 0
[16:00:18.551] [SEVERE ] removing player 1 token from slot 0
[16:00:18.553] [SEVERE ] player 1 placing token on slot 0
[16:00:18.554] [SEVERE ] removing player 1 token from slot 0
[16:00:18.555] [SEVERE ] player 1 placing token on slot 0
[16:00:18.556] [SEVERE ] removing player 1 token from slot 0
[16:00:18.557] [SEVERE ] player 1 placing token on slot 0
[16:00:18.557] [SEVERE ] removing player 1 token from slot 0
[16:00:18.558] [SEVERE ] player 1 placing token on slot 0
[16:00:18.560] [SEVERE ] removing player 1 token from slot 0
[16:00:18.562] [SEVERE ] player 1 placing token on slot 0
[16:00:18.563] [SEVERE ] removing player 1 token from slot 0
[16:00:18.564] [SEVERE ] player 1 placing token on slot 0
[16:00:18.566] [SEVERE ] removing player 1 token from slot 0
[16:00:18.566] [SEVERE ] player 1 placing token on slot 0
[16:00:18.567] [SEVERE ] removing player 1 token from slot 0
[16:00:18.568] [SEVERE ] player 1 placing token on slot 0
[16:00:18.569] [SEVERE ] removing player 1 token from slot 0
[16:00:18.570] [SEVERE ] player 1 placing token on slot 0
[16:00:18.570] [SEVERE ] removing player 1 token from slot 0
[16:00:18.571] [SEVERE ] player 1 placing token on slot 0
[16:00:18.572] [SEVERE ] removing player 1 token from slot 0
[16:00:18.573] [SEVERE ] player 1 placing token on slot 0
[16:00:18.574] [SEVERE ] removing player 1 token from slot 0
[16:00:18.575] [SEVERE ] player 1 placing token on slot 0
[16:00:18.577] [SEVERE ] removing player 1 token from slot 0
[16:00:18.578] [SEVERE ] player 1 placing token on slot 0
[16:00:18.579] [SEVERE ] removing player 1 token from slot 0
[16:00:18.580] [SEVERE ] player 1 placing token on slot 0
[16:00:18.581] [SEVERE ] removing player 1 token from slot 0
[16:00:18.582] [SEVERE ] player 1 placing token on slot 0
[16:00:18.584] [SEVERE ] removing player 1 token from slot 0
[16:00:18.585] [SEVERE ] player 1 placing token on slot 0
[16:00:18.586] [SEVERE ] removing player 1 token from slot 0
[16:00:18.587] [SEVERE ] player 1 placing token on slot 0
[16:00:18.587] [SEVERE ] removing player 1 token from slot 0
[16:00:18.589] [SEVERE ] player 1 placing token on slot 0
[16:00:18.590] [SEVERE ] removing player 1 token from slot 0
[16:00:18.592] [SEVERE ] player 1 placing token on slot 0
[16:00:18.594] [SEVERE ] removing player 1 token from slot 0
[16:00:18.595] [SEVERE ] player 1 placing token on slot 0
[16:00:18.596] [SEVERE ] removing player 1 token from slot 0
[16:00:18.598] [SEVERE ] player 1 placing token on slot 0
[16:00:18.599] [SEVERE ] removing player 1 token from slot 0
[16:00:18.600] [SEVERE ] player 1 placing token on slot 0
[16:00:18.601] [SEVERE ] removing player 1 token from slot 0
[16:00:18.602] [SEVERE ] player 1 placing token on slot 0
[16:00:18.604] [SEVERE ] removing player 1 token from slot 0
[16:00:18.605] [SEVERE ] player 1 placing token on slot 0
[16:00:18.606] [SEVERE ] removing player 1 token from slot 0
[16:00:18.606] [SEVERE ] player 1 placing token on slot 0
[16:00:18.608] [SEVERE ] removing player 1 token from slot 0
[16:00:18.610] [SEVERE ] player 1 placing token on slot 0
[16:00:18.611] [SEVERE ] removing player 1 token from slot 0
[16:00:18.612] [SEVERE ] player 1 placing token on slot 0
[16:00:18.612] [SEVERE ] placing card 1 in slot 1
[16:00:18.612] [SEVERE ] player 1 placing token on slot 1
[16:00:18.615] [SEVERE ] removing player 1 token from slot 0
[16:00:18.616] [SEVERE ] removing player 1 token from slot 1
[16:00:18.617] [SEVERE ] player 1 placing token on slot 1
[16:00:18.618] [SEVERE ] player 1 placing token on slot 0
[16:00:18.620] [SEVERE ] removing player 1 token from slot 1
[16:00:18.623] [SEVERE ] removing player 1 token from slot 0
[16:00:18.624] [SEVERE ] player 1 placing token on slot 1
[16:00:18.625] [SEVERE ] removing player 1 token from slot 1
[16:00:18.626] [SEVERE ] player 1 placing token on slot 0
[16:00:18.627] [SEVERE ] removing player 1 token from slot 0
[16:00:18.628] [SEVERE ] player 1 placing token on slot 0
[16:00:18.629] [SEVERE ] player 1 placing token on slot 1
[16:00:18.629] [SEVERE ] removing player 1 token from slot 0
[16:00:18.630] [SEVERE ] removing player 1 token from slot 1
[16:00:18.631] [SEVERE ] player 1 placing token on slot 1
[16:00:18.632] [SEVERE ] removing player 1 token from slot 1
[16:00:18.633] [SEVERE ] player 1 placing token on slot 0
[16:00:18.634] [SEVERE ] removing player 1 token from slot 0
[16:00:18.635] [SEVERE ] player 1 placing token on slot 0
[16:00:18.636] [SEVERE ] player 1 placing token on slot 1
[16:00:18.637] [SEVERE ] removing player 1 token from slot 0
[16:00:18.638] [SEVERE ] removing player 1 token from slot 1
[16:00:18.639] [SEVERE ] player 1 placing token on slot 0
[16:00:18.640] [SEVERE ] player 1 placing token on slot 1
[16:00:18.640] [SEVERE ] removing player 1 token from slot 0
[16:00:18.642] [SEVERE ] removing player 1 token from slot 1
[16:00:18.643] [SEVERE ] player 1 placing token on slot 0
[16:00:18.644] [SEVERE ] player 1 placing token on slot 1
[16:00:18.645] [SEVERE ] removing player 1 token from slot 1
[16:00:18.646] [SEVERE ] player 1 placing token on slot 1
[16:00:18.647] [SEVERE ] removing player 1 token from slot 0
[16:00:18.649] [SEVERE ] player 1 placing token on slot 0
[16:00:18.650] [SEVERE ] removing player 1 token from slot 1
[16:00:18.650] [SEVERE ] player 1 placing token on slot 1
[16:00:18.651] [SEVERE ] removing player 1 token from slot 1
[16:00:18.651] [SEVERE ] removing player 1 token from slot 0
[16:00:18.652] [SEVERE ] player 1 placing token on slot 0
[16:00:18.653] [SEVERE ] player 1 placing token on slot 1
[16:00:18.654] [SEVERE ] removing player 1 token from slot 1
[16:00:18.655] [SEVERE ] removing player 1 token from slot 0
[16:00:18.657] [SEVERE ] player 1 placing token on slot 1
[16:00:18.658] [SEVERE ] removing player 1 token from slot 1
[16:00:18.658] [SEVERE ] player 1 placing token on slot 0
[16:00:18.660] [SEVERE ] removing player 1 token from slot 0
