[15:56:25.820] [INFO   ] thread bguspl.set.Main.main() starting.
[15:56:25.857] [SEVERE ] cannot read configuration file config.properties trying from resources.
[15:56:25.863] [SEVERE ] configuration file was loaded from resources directory.
[15:56:27.023] [INFO   ] thread dealer starting.
[15:56:27.025] [INFO   ] thread dealer starting.
[15:56:27.025] [INFO   ] thread player 0 starting.
[15:56:27.026] [INFO   ] thread player 1 starting.
[15:56:27.026] [INFO   ] thread player 0 starting.
[15:56:27.027] [INFO   ] thread player 1 starting.
[15:56:27.027] [INFO   ] thread player 2 starting.
[15:56:27.031] [INFO   ] thread player 3 starting.
[15:56:27.031] [INFO   ] thread player 2 starting.
[15:56:27.032] [INFO   ] thread player 3 starting.
[15:56:27.032] [INFO   ] thread computer-2 starting.
[15:56:27.033] [INFO   ] thread computer-3 starting.
[15:56:27.134] [SEVERE ] player 3 placing token on slot 0
[15:56:27.134] [SEVERE ] placing card 0 in slot 0
[15:56:27.136] [SEVERE ] removing player 3 token from slot 0
[15:56:27.136] [SEVERE ] player 4 placing token on slot 0
[15:56:27.137] [SEVERE ] player 3 placing token on slot 0
[15:56:27.140] [SEVERE ] removing player 3 token from slot 0
[15:56:27.140] [SEVERE ] removing player 4 token from slot 0
[15:56:27.141] [SEVERE ] player 3 placing token on slot 0
[15:56:27.147] [SEVERE ] removing player 3 token from slot 0
[15:56:27.148] [SEVERE ] player 4 placing token on slot 0
[15:56:27.149] [SEVERE ] removing player 4 token from slot 0
[15:56:27.150] [SEVERE ] player 3 placing token on slot 0
[15:56:27.152] [SEVERE ] removing player 3 token from slot 0
[15:56:27.152] [SEVERE ] player 4 placing token on slot 0
[15:56:27.153] [SEVERE ] player 3 placing token on slot 0
[15:56:27.154] [SEVERE ] removing player 3 token from slot 0
[15:56:27.154] [SEVERE ] removing player 4 token from slot 0
[15:56:27.155] [SEVERE ] player 3 placing token on slot 0
[15:56:27.156] [SEVERE ] player 4 placing token on slot 0
[15:56:27.156] [SEVERE ] removing player 3 token from slot 0
[15:56:27.156] [SEVERE ] removing player 4 token from slot 0
[15:56:27.157] [SEVERE ] player 3 placing token on slot 0
[15:56:27.158] [SEVERE ] removing player 3 token from slot 0
[15:56:27.158] [SEVERE ] player 4 placing token on slot 0
[15:56:27.159] [SEVERE ] player 3 placing token on slot 0
[15:56:27.161] [SEVERE ] removing player 4 token from slot 0
[15:56:27.161] [SEVERE ] removing player 3 token from slot 0
[15:56:27.163] [SEVERE ] player 4 placing token on slot 0
[15:56:27.164] [SEVERE ] removing player 4 token from slot 0
[15:56:27.164] [SEVERE ] player 3 placing token on slot 0
[15:56:27.168] [SEVERE ] removing player 3 token from slot 0
[15:56:27.169] [SEVERE ] player 4 placing token on slot 0
[15:56:27.170] [SEVERE ] player 3 placing token on slot 0
[15:56:27.171] [SEVERE ] removing player 3 token from slot 0
[15:56:27.171] [SEVERE ] removing player 4 token from slot 0
[15:56:27.171] [SEVERE ] player 3 placing token on slot 0
[15:56:27.172] [SEVERE ] removing player 3 token from slot 0
[15:56:27.173] [SEVERE ] player 4 placing token on slot 0
[15:56:27.173] [SEVERE ] player 3 placing token on slot 0
[15:56:27.174] [SEVERE ] removing player 3 token from slot 0
[15:56:27.174] [SEVERE ] removing player 4 token from slot 0
[15:56:27.175] [SEVERE ] player 3 placing token on slot 0
[15:56:27.175] [SEVERE ] player 4 placing token on slot 0
[15:56:27.175] [SEVERE ] removing player 3 token from slot 0
[15:56:27.178] [SEVERE ] removing player 4 token from slot 0
[15:56:27.179] [SEVERE ] player 4 placing token on slot 0
[15:56:27.180] [SEVERE ] player 3 placing token on slot 0
[15:56:27.181] [SEVERE ] removing player 3 token from slot 0
[15:56:27.181] [SEVERE ] removing player 4 token from slot 0
[15:56:27.182] [SEVERE ] player 3 placing token on slot 0
[15:56:27.185] [SEVERE ] player 4 placing token on slot 0
[15:56:27.187] [SEVERE ] removing player 3 token from slot 0
[15:56:27.187] [SEVERE ] removing player 4 token from slot 0
[15:56:27.188] [SEVERE ] player 3 placing token on slot 0
[15:56:27.189] [SEVERE ] removing player 3 token from slot 0
[15:56:27.190] [SEVERE ] player 4 placing token on slot 0
[15:56:27.191] [SEVERE ] removing player 4 token from slot 0
[15:56:27.192] [SEVERE ] player 3 placing token on slot 0
[15:56:27.194] [SEVERE ] player 4 placing token on slot 0
[15:56:27.195] [SEVERE ] removing player 4 token from slot 0
[15:56:27.196] [SEVERE ] removing player 3 token from slot 0
[15:56:27.196] [SEVERE ] player 4 placing token on slot 0
[15:56:27.198] [SEVERE ] player 3 placing token on slot 0
[15:56:27.199] [SEVERE ] removing player 3 token from slot 0
[15:56:27.199] [SEVERE ] removing player 4 token from slot 0
[15:56:27.200] [SEVERE ] player 4 placing token on slot 0
[15:56:27.201] [SEVERE ] player 3 placing token on slot 0
[15:56:27.203] [SEVERE ] removing player 4 token from slot 0
[15:56:27.204] [SEVERE ] removing player 3 token from slot 0
[15:56:27.205] [SEVERE ] player 3 placing token on slot 0
[15:56:27.206] [SEVERE ] player 4 placing token on slot 0
[15:56:27.206] [SEVERE ] removing player 4 token from slot 0
[15:56:27.206] [SEVERE ] removing player 3 token from slot 0
[15:56:27.208] [SEVERE ] player 3 placing token on slot 0
[15:56:27.208] [SEVERE ] player 4 placing token on slot 0
[15:56:27.209] [SEVERE ] removing player 4 token from slot 0
[15:56:27.209] [SEVERE ] removing player 3 token from slot 0
[15:56:27.211] [SEVERE ] player 4 placing token on slot 0
[15:56:27.213] [SEVERE ] player 3 placing token on slot 0
[15:56:27.214] [SEVERE ] removing player 4 token from slot 0
[15:56:27.214] [SEVERE ] removing player 3 token from slot 0
[15:56:27.215] [SEVERE ] player 4 placing token on slot 0
[15:56:27.216] [SEVERE ] removing player 4 token from slot 0
[15:56:27.216] [SEVERE ] player 3 placing token on slot 0
[15:56:27.217] [SEVERE ] removing player 3 token from slot 0
[15:56:27.217] [SEVERE ] player 4 placing token on slot 0
[15:56:27.218] [SEVERE ] removing player 4 token from slot 0
[15:56:27.218] [SEVERE ] player 3 placing token on slot 0
[15:56:27.219] [SEVERE ] player 4 placing token on slot 0
[15:56:27.220] [SEVERE ] removing player 3 token from slot 0
[15:56:27.221] [SEVERE ] player 3 placing token on slot 0
[15:56:27.222] [SEVERE ] removing player 4 token from slot 0
[15:56:27.222] [SEVERE ] removing player 3 token from slot 0
[15:56:27.223] [SEVERE ] player 4 placing token on slot 0
[15:56:27.224] [SEVERE ] player 3 placing token on slot 0
[15:56:27.225] [SEVERE ] removing player 3 token from slot 0
[15:56:27.225] [SEVERE ] removing player 4 token from slot 0
[15:56:27.225] [SEVERE ] player 3 placing token on slot 0
[15:56:27.228] [SEVERE ] player 4 placing token on slot 0
[15:56:27.229] [SEVERE ] removing player 4 token from slot 0
[15:56:27.230] [SEVERE ] removing player 3 token from slot 0
[15:56:27.230] [SEVERE ] player 4 placing token on slot 0
[15:56:27.232] [SEVERE ] player 3 placing token on slot 0
[15:56:27.233] [SEVERE ] removing player 3 token from slot 0
[15:56:27.233] [SEVERE ] removing player 4 token from slot 0
[15:56:27.233] [SEVERE ] player 3 placing token on slot 0
[15:56:27.234] [SEVERE ] removing player 3 token from slot 0
[15:56:27.235] [SEVERE ] player 4 placing token on slot 0
[15:56:27.236] [SEVERE ] placing card 1 in slot 1
[15:56:27.237] [SEVERE ] player 3 placing token on slot 1
[15:56:27.239] [SEVERE ] player 3 placing token on slot 0
[15:56:27.240] [SEVERE ] removing player 3 token from slot 1
[15:56:27.240] [SEVERE ] player 4 placing token on slot 1
[15:56:27.241] [SEVERE ] player 3 placing token on slot 1
[15:56:27.242] [SEVERE ] removing player 3 token from slot 1
[15:56:27.242] [SEVERE ] removing player 4 token from slot 0
[15:56:27.244] [SEVERE ] removing player 3 token from slot 0
[15:56:27.246] [SEVERE ] removing player 4 token from slot 1
[15:56:27.246] [SEVERE ] player 3 placing token on slot 1
[15:56:27.247] [SEVERE ] player 4 placing token on slot 1
[15:56:27.248] [SEVERE ] removing player 3 token from slot 1
