[17:58:46.754] [INFO   ] thread bguspl.set.Main.main() starting.
[17:58:46.765] [SEVERE ] cannot read configuration file config.properties trying from resources.
[17:58:46.773] [SEVERE ] configuration file was loaded from resources directory.
[17:58:48.201] [INFO   ] thread dealer starting.
[17:58:48.206] [INFO   ] thread dealer starting.
[17:58:48.207] [INFO   ] thread player 0 starting.
[17:58:48.209] [INFO   ] thread player 1 starting.
[17:58:48.209] [INFO   ] thread player 0 starting.
[17:58:48.211] [INFO   ] thread player 1 starting.
[17:58:48.322] [SEVERE ] placing card 0 in slot 0
[17:58:48.423] [SEVERE ] placing card 1 in slot 1
[17:58:48.529] [SEVERE ] placing card 2 in slot 2
[17:58:48.630] [SEVERE ] placing card 3 in slot 3
[17:58:48.732] [SEVERE ] placing card 4 in slot 4
[17:58:48.833] [SEVERE ] placing card 5 in slot 5
[17:58:48.934] [SEVERE ] placing card 6 in slot 6
[17:58:49.036] [SEVERE ] placing card 7 in slot 7
[17:58:49.137] [SEVERE ] placing card 8 in slot 8
[17:58:49.238] [SEVERE ] placing card 9 in slot 9
[17:58:49.340] [SEVERE ] placing card 10 in slot 10
[17:58:49.442] [SEVERE ] placing card 11 in slot 11
[17:58:49.453] [SEVERE ] updating countdown to 58731
[17:58:49.464] [SEVERE ] updating countdown to 58720
[17:58:49.476] [SEVERE ] updating countdown to 58708
[17:58:49.489] [SEVERE ] updating countdown to 58696
[17:58:49.500] [SEVERE ] updating countdown to 58684
[17:58:49.511] [SEVERE ] updating countdown to 58673
[17:58:49.522] [SEVERE ] updating countdown to 58662
[17:58:49.533] [SEVERE ] updating countdown to 58651
[17:58:49.544] [SEVERE ] updating countdown to 58640
[17:58:49.555] [SEVERE ] updating countdown to 58629
[17:58:49.566] [SEVERE ] updating countdown to 58618
[17:58:49.577] [SEVERE ] updating countdown to 58607
[17:58:49.588] [SEVERE ] updating countdown to 58596
[17:58:49.599] [SEVERE ] updating countdown to 58585
[17:58:49.610] [SEVERE ] updating countdown to 58574
[17:58:49.622] [SEVERE ] updating countdown to 58562
[17:58:49.632] [SEVERE ] updating countdown to 58552
[17:58:49.643] [SEVERE ] updating countdown to 58541
[17:58:49.654] [SEVERE ] updating countdown to 58530
[17:58:49.665] [SEVERE ] updating countdown to 58519
[17:58:49.676] [SEVERE ] updating countdown to 58508
[17:58:49.687] [SEVERE ] updating countdown to 58497
[17:58:49.698] [SEVERE ] updating countdown to 58486
[17:58:49.708] [SEVERE ] updating countdown to 58476
[17:58:49.719] [SEVERE ] updating countdown to 58465
[17:58:49.730] [SEVERE ] updating countdown to 58454
[17:58:49.741] [SEVERE ] updating countdown to 58443
[17:58:49.752] [SEVERE ] updating countdown to 58432
[17:58:49.763] [SEVERE ] updating countdown to 58421
[17:58:49.774] [SEVERE ] updating countdown to 58410
[17:58:49.785] [SEVERE ] updating countdown to 58399
[17:58:49.796] [SEVERE ] updating countdown to 58388
[17:58:49.807] [SEVERE ] updating countdown to 58377
[17:58:49.818] [SEVERE ] updating countdown to 58366
[17:58:49.829] [SEVERE ] updating countdown to 58355
[17:58:49.840] [SEVERE ] updating countdown to 58344
[17:58:49.851] [SEVERE ] updating countdown to 58333
[17:58:49.861] [SEVERE ] updating countdown to 58323
[17:58:49.872] [SEVERE ] updating countdown to 58312
[17:58:49.883] [SEVERE ] updating countdown to 58301
[17:58:49.894] [SEVERE ] updating countdown to 58290
[17:58:49.904] [SEVERE ] updating countdown to 58280
[17:58:49.915] [SEVERE ] updating countdown to 58269
[17:58:49.928] [SEVERE ] updating countdown to 58256
[17:58:49.939] [SEVERE ] updating countdown to 58245
[17:58:49.950] [SEVERE ] updating countdown to 58234
[17:58:49.961] [SEVERE ] updating countdown to 58223
[17:58:49.972] [SEVERE ] updating countdown to 58212
[17:58:49.983] [SEVERE ] updating countdown to 58201
[17:58:49.993] [SEVERE ] updating countdown to 58191
[17:58:50.004] [SEVERE ] updating countdown to 58180
[17:58:50.015] [SEVERE ] updating countdown to 58169
[17:58:50.026] [SEVERE ] updating countdown to 58158
[17:58:50.037] [SEVERE ] updating countdown to 58147
[17:58:50.047] [SEVERE ] updating countdown to 58137
[17:58:50.058] [SEVERE ] updating countdown to 58126
[17:58:50.070] [SEVERE ] updating countdown to 58115
[17:58:50.081] [SEVERE ] updating countdown to 58103
[17:58:50.091] [SEVERE ] updating countdown to 58093
[17:58:50.103] [SEVERE ] updating countdown to 58081
[17:58:50.113] [SEVERE ] updating countdown to 58071
[17:58:50.124] [SEVERE ] updating countdown to 58060
[17:58:50.136] [SEVERE ] updating countdown to 58048
[17:58:50.146] [SEVERE ] updating countdown to 58038
[17:58:50.157] [SEVERE ] updating countdown to 58027
[17:58:50.168] [SEVERE ] updating countdown to 58016
