[16:18:48.120] [INFO   ] thread bguspl.set.Main.main() starting.
[16:18:48.128] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:18:48.133] [SEVERE ] configuration file was loaded from resources directory.
[16:18:49.375] [INFO   ] thread dealer starting.
[16:18:49.376] [INFO   ] thread dealer starting.
[16:18:49.377] [INFO   ] thread player 0 starting.
[16:18:49.378] [INFO   ] thread player 1 starting.
[16:18:49.378] [INFO   ] thread player 0 starting.
[16:18:49.379] [INFO   ] thread player 1 starting.
[16:18:49.483] [SEVERE ] placing card 0 in slot 0
[16:18:49.585] [SEVERE ] placing card 1 in slot 1
[16:18:49.686] [SEVERE ] placing card 2 in slot 2
[16:18:49.787] [SEVERE ] placing card 3 in slot 3
[16:18:49.890] [SEVERE ] placing card 4 in slot 4
[16:18:49.992] [SEVERE ] placing card 5 in slot 5
[16:18:50.093] [SEVERE ] placing card 6 in slot 6
[16:18:50.195] [SEVERE ] placing card 7 in slot 7
[16:18:50.297] [SEVERE ] placing card 8 in slot 8
[16:18:50.399] [SEVERE ] placing card 9 in slot 9
[16:18:50.500] [SEVERE ] placing card 10 in slot 10
[16:18:50.601] [SEVERE ] placing card 11 in slot 11
[16:18:50.612] [SEVERE ] updating countdown to 58745
[16:18:50.623] [SEVERE ] updating countdown to 58734
[16:18:50.634] [SEVERE ] updating countdown to 58723
[16:18:50.645] [SEVERE ] updating countdown to 58712
[16:18:50.656] [SEVERE ] updating countdown to 58701
[16:18:50.667] [SEVERE ] updating countdown to 58690
[16:18:50.678] [SEVERE ] updating countdown to 58679
[16:18:50.689] [SEVERE ] updating countdown to 58668
[16:18:50.700] [SEVERE ] updating countdown to 58657
[16:18:50.711] [SEVERE ] updating countdown to 58646
[16:18:50.722] [SEVERE ] updating countdown to 58635
[16:18:50.732] [SEVERE ] updating countdown to 58625
[16:18:50.743] [SEVERE ] updating countdown to 58614
[16:18:50.754] [SEVERE ] updating countdown to 58603
[16:18:50.765] [SEVERE ] updating countdown to 58592
[16:18:50.776] [SEVERE ] updating countdown to 58581
[16:18:50.787] [SEVERE ] updating countdown to 58570
[16:18:50.797] [SEVERE ] updating countdown to 58560
[16:18:50.808] [SEVERE ] updating countdown to 58549
[16:18:50.819] [SEVERE ] updating countdown to 58538
[16:18:50.830] [SEVERE ] updating countdown to 58527
[16:18:50.840] [SEVERE ] updating countdown to 58517
[16:18:50.851] [SEVERE ] updating countdown to 58506
[16:18:50.863] [SEVERE ] updating countdown to 58494
[16:18:50.874] [SEVERE ] updating countdown to 58483
[16:18:50.885] [SEVERE ] updating countdown to 58472
[16:18:50.896] [SEVERE ] updating countdown to 58461
[16:18:50.907] [SEVERE ] updating countdown to 58450
[16:18:50.919] [SEVERE ] updating countdown to 58439
[16:18:50.930] [SEVERE ] updating countdown to 58427
[16:18:50.941] [SEVERE ] updating countdown to 58416
[16:18:50.953] [SEVERE ] updating countdown to 58404
[16:18:50.964] [SEVERE ] updating countdown to 58393
[16:18:50.975] [SEVERE ] updating countdown to 58382
[16:18:50.987] [SEVERE ] updating countdown to 58370
[16:18:50.998] [SEVERE ] updating countdown to 58359
[16:18:51.010] [SEVERE ] updating countdown to 58347
[16:18:51.021] [SEVERE ] updating countdown to 58336
[16:18:51.032] [SEVERE ] updating countdown to 58325
[16:18:51.043] [SEVERE ] updating countdown to 58314
[16:18:51.054] [SEVERE ] updating countdown to 58303
[16:18:51.065] [SEVERE ] updating countdown to 58292
[16:18:51.076] [SEVERE ] updating countdown to 58281
