[17:59:52.682] [INFO   ] thread bguspl.set.Main.main() starting.
[17:59:52.695] [SEVERE ] cannot read configuration file config.properties trying from resources.
[17:59:52.705] [SEVERE ] configuration file was loaded from resources directory.
[17:59:53.868] [INFO   ] thread dealer starting.
[17:59:53.869] [INFO   ] thread dealer starting.
[17:59:53.870] [INFO   ] thread player 0 starting.
[17:59:53.871] [INFO   ] thread player 1 starting.
[17:59:53.871] [INFO   ] thread player 0 starting.
[17:59:53.871] [INFO   ] thread player 1 starting.
[17:59:53.974] [SEVERE ] placing card 0 in slot 0
[17:59:54.075] [SEVERE ] placing card 1 in slot 1
[17:59:54.177] [SEVERE ] placing card 2 in slot 2
[17:59:54.278] [SEVERE ] placing card 3 in slot 3
[17:59:54.380] [SEVERE ] placing card 4 in slot 4
[17:59:54.481] [SEVERE ] placing card 5 in slot 5
[17:59:54.583] [SEVERE ] placing card 6 in slot 6
[17:59:54.685] [SEVERE ] placing card 7 in slot 7
[17:59:54.789] [SEVERE ] placing card 8 in slot 8
[17:59:54.891] [SEVERE ] placing card 9 in slot 9
[17:59:54.992] [SEVERE ] placing card 10 in slot 10
[17:59:55.095] [SEVERE ] placing card 11 in slot 11
[17:59:55.107] [SEVERE ] updating countdown to 58749
[17:59:55.118] [SEVERE ] updating countdown to 58738
[17:59:55.130] [SEVERE ] updating countdown to 58726
[17:59:55.141] [SEVERE ] updating countdown to 58715
[17:59:55.152] [SEVERE ] updating countdown to 58704
[17:59:55.163] [SEVERE ] updating countdown to 58693
[17:59:55.174] [SEVERE ] updating countdown to 58682
[17:59:55.186] [SEVERE ] updating countdown to 58670
[17:59:55.198] [SEVERE ] updating countdown to 58658
[17:59:55.209] [SEVERE ] updating countdown to 58647
[17:59:55.221] [SEVERE ] updating countdown to 58635
[17:59:55.232] [SEVERE ] updating countdown to 58624
[17:59:55.244] [SEVERE ] updating countdown to 58612
[17:59:55.256] [SEVERE ] updating countdown to 58600
[17:59:55.270] [SEVERE ] updating countdown to 58586
[17:59:55.282] [SEVERE ] updating countdown to 58574
[17:59:55.294] [SEVERE ] updating countdown to 58562
[17:59:55.305] [SEVERE ] updating countdown to 58551
[17:59:55.316] [SEVERE ] updating countdown to 58540
[17:59:55.327] [SEVERE ] updating countdown to 58529
[17:59:55.338] [SEVERE ] updating countdown to 58518
[17:59:55.350] [SEVERE ] updating countdown to 58506
[17:59:55.361] [SEVERE ] updating countdown to 58495
[17:59:55.374] [SEVERE ] updating countdown to 58482
[17:59:55.386] [SEVERE ] updating countdown to 58470
[17:59:55.398] [SEVERE ] updating countdown to 58458
[17:59:55.410] [SEVERE ] updating countdown to 58446
[17:59:55.422] [SEVERE ] updating countdown to 58434
[17:59:55.434] [SEVERE ] updating countdown to 58422
[17:59:55.445] [SEVERE ] updating countdown to 58411
[17:59:55.457] [SEVERE ] updating countdown to 58399
[17:59:55.469] [SEVERE ] updating countdown to 58387
[17:59:55.480] [SEVERE ] updating countdown to 58376
[17:59:55.492] [SEVERE ] updating countdown to 58364
[17:59:55.503] [SEVERE ] updating countdown to 58353
[17:59:55.518] [SEVERE ] updating countdown to 58338
[17:59:55.529] [SEVERE ] updating countdown to 58327
[17:59:55.540] [SEVERE ] updating countdown to 58316
[17:59:55.551] [SEVERE ] updating countdown to 58305
[17:59:55.562] [SEVERE ] updating countdown to 58294
[17:59:55.573] [SEVERE ] updating countdown to 58283
[17:59:55.584] [SEVERE ] updating countdown to 58272
[17:59:55.595] [SEVERE ] updating countdown to 58261
[17:59:55.606] [SEVERE ] updating countdown to 58250
[17:59:55.617] [SEVERE ] updating countdown to 58239
[17:59:55.628] [SEVERE ] updating countdown to 58228
[17:59:55.638] [SEVERE ] updating countdown to 58218
[17:59:55.649] [SEVERE ] updating countdown to 58207
[17:59:55.660] [SEVERE ] updating countdown to 58196
[17:59:55.671] [SEVERE ] updating countdown to 58185
[17:59:55.682] [SEVERE ] updating countdown to 58174
[17:59:55.692] [SEVERE ] updating countdown to 58164
[17:59:55.703] [SEVERE ] updating countdown to 58153
[17:59:55.714] [SEVERE ] updating countdown to 58142
[17:59:55.725] [SEVERE ] updating countdown to 58131
[17:59:55.737] [SEVERE ] updating countdown to 58119
[17:59:55.748] [SEVERE ] updating countdown to 58108
[17:59:55.759] [SEVERE ] updating countdown to 58097
[17:59:55.772] [SEVERE ] updating countdown to 58084
[17:59:55.785] [SEVERE ] updating countdown to 58071
[17:59:55.797] [SEVERE ] updating countdown to 58059
[17:59:55.809] [SEVERE ] updating countdown to 58047
[17:59:55.821] [SEVERE ] updating countdown to 58035
[17:59:55.835] [SEVERE ] updating countdown to 58021
[17:59:55.847] [SEVERE ] updating countdown to 58009
[17:59:55.859] [SEVERE ] updating countdown to 57997
[17:59:55.870] [SEVERE ] updating countdown to 57986
[17:59:55.881] [SEVERE ] updating countdown to 57975
[17:59:55.893] [SEVERE ] updating countdown to 57963
[17:59:55.905] [SEVERE ] updating countdown to 57951
[17:59:55.916] [SEVERE ] updating countdown to 57940
[17:59:55.927] [SEVERE ] updating countdown to 57929
[17:59:55.939] [SEVERE ] updating countdown to 57917
[17:59:55.951] [SEVERE ] updating countdown to 57905
[17:59:55.962] [SEVERE ] updating countdown to 57894
[17:59:55.975] [SEVERE ] updating countdown to 57881
[17:59:55.987] [SEVERE ] updating countdown to 57869
[17:59:55.998] [SEVERE ] updating countdown to 57858
[17:59:56.010] [SEVERE ] updating countdown to 57846
[17:59:56.021] [SEVERE ] updating countdown to 57835
[17:59:56.036] [SEVERE ] updating countdown to 57820
[17:59:56.048] [SEVERE ] updating countdown to 57808
[17:59:56.059] [SEVERE ] updating countdown to 57797
[17:59:56.070] [SEVERE ] updating countdown to 57786
[17:59:56.082] [SEVERE ] updating countdown to 57774
[17:59:56.094] [SEVERE ] updating countdown to 57762
[17:59:56.106] [SEVERE ] updating countdown to 57751
[17:59:56.119] [SEVERE ] updating countdown to 57737
[17:59:56.131] [SEVERE ] updating countdown to 57725
[17:59:56.143] [SEVERE ] updating countdown to 57713
[17:59:56.155] [SEVERE ] updating countdown to 57701
[17:59:56.167] [SEVERE ] updating countdown to 57689
[17:59:56.179] [SEVERE ] updating countdown to 57677
[17:59:56.191] [SEVERE ] updating countdown to 57665
[17:59:56.202] [SEVERE ] updating countdown to 57654
[17:59:56.213] [SEVERE ] updating countdown to 57643
[17:59:56.224] [SEVERE ] updating countdown to 57632
[17:59:56.236] [SEVERE ] updating countdown to 57620
[17:59:56.248] [SEVERE ] updating countdown to 57608
[17:59:56.259] [SEVERE ] updating countdown to 57597
[17:59:56.270] [SEVERE ] updating countdown to 57586
[17:59:56.281] [SEVERE ] updating countdown to 57575
[17:59:56.291] [SEVERE ] updating countdown to 57565
[17:59:56.302] [SEVERE ] updating countdown to 57554
[17:59:56.313] [SEVERE ] updating countdown to 57543
[17:59:56.324] [SEVERE ] updating countdown to 57532
[17:59:56.336] [SEVERE ] updating countdown to 57521
[17:59:56.348] [SEVERE ] updating countdown to 57508
[17:59:56.360] [SEVERE ] updating countdown to 57496
[17:59:56.372] [SEVERE ] updating countdown to 57484
[17:59:56.384] [SEVERE ] updating countdown to 57472
[17:59:56.396] [SEVERE ] updating countdown to 57460
[17:59:56.408] [SEVERE ] updating countdown to 57448
[17:59:56.419] [SEVERE ] updating countdown to 57437
[17:59:56.430] [SEVERE ] updating countdown to 57426
[17:59:56.441] [SEVERE ] updating countdown to 57415
[17:59:56.451] [SEVERE ] updating countdown to 57405
[17:59:56.462] [SEVERE ] updating countdown to 57394
[17:59:56.473] [SEVERE ] updating countdown to 57383
[17:59:56.484] [SEVERE ] updating countdown to 57372
[17:59:56.496] [SEVERE ] updating countdown to 57360
[17:59:56.511] [SEVERE ] updating countdown to 57345
[17:59:56.522] [SEVERE ] updating countdown to 57334
[17:59:56.549] [SEVERE ] updating countdown to 57307
[17:59:56.560] [SEVERE ] updating countdown to 57296
[17:59:56.571] [SEVERE ] updating countdown to 57285
[17:59:56.582] [SEVERE ] updating countdown to 57274
[17:59:56.600] [SEVERE ] updating countdown to 57256
[17:59:56.630] [SEVERE ] updating countdown to 57227
[17:59:56.647] [SEVERE ] updating countdown to 57209
[17:59:56.663] [SEVERE ] updating countdown to 57193
[17:59:56.673] [SEVERE ] updating countdown to 57183
[17:59:56.691] [SEVERE ] updating countdown to 57165
[17:59:56.712] [SEVERE ] updating countdown to 57144
[17:59:56.725] [SEVERE ] updating countdown to 57131
[17:59:56.816] [SEVERE ] updating countdown to 57040
[17:59:56.827] [SEVERE ] updating countdown to 57029
[17:59:56.845] [SEVERE ] updating countdown to 57011
[17:59:56.858] [SEVERE ] updating countdown to 56998
[17:59:56.869] [SEVERE ] updating countdown to 56987
[17:59:56.921] [SEVERE ] updating countdown to 56935
[17:59:56.953] [SEVERE ] updating countdown to 56903
[17:59:56.986] [SEVERE ] updating countdown to 56870
[17:59:57.028] [SEVERE ] updating countdown to 56828
[17:59:57.049] [SEVERE ] updating countdown to 56807
[17:59:57.065] [SEVERE ] updating countdown to 56791
[17:59:57.076] [SEVERE ] updating countdown to 56780
[17:59:57.087] [SEVERE ] updating countdown to 56769
[17:59:57.099] [SEVERE ] updating countdown to 56757
[17:59:57.110] [SEVERE ] updating countdown to 56746
[17:59:57.122] [SEVERE ] updating countdown to 56734
[17:59:57.134] [SEVERE ] updating countdown to 56722
[17:59:57.146] [SEVERE ] updating countdown to 56710
[17:59:57.158] [SEVERE ] updating countdown to 56698
[17:59:57.170] [SEVERE ] updating countdown to 56687
[17:59:57.181] [SEVERE ] updating countdown to 56675
[17:59:57.191] [SEVERE ] updating countdown to 56665
[17:59:57.202] [SEVERE ] updating countdown to 56654
[17:59:57.213] [SEVERE ] updating countdown to 56643
[17:59:57.224] [SEVERE ] updating countdown to 56632
[17:59:57.234] [SEVERE ] updating countdown to 56622
[17:59:57.245] [SEVERE ] updating countdown to 56611
[17:59:57.256] [SEVERE ] updating countdown to 56600
[17:59:57.267] [SEVERE ] updating countdown to 56589
[17:59:57.273] [SEVERE ] key 47 was pressed by player 2
[17:59:57.274] [SEVERE ] player 2 placing token on slot 11
[17:59:57.278] [SEVERE ] updating countdown to 56578
[17:59:57.289] [SEVERE ] updating countdown to 56567
[17:59:57.300] [SEVERE ] updating countdown to 56556
[17:59:57.311] [SEVERE ] updating countdown to 56545
[17:59:57.322] [SEVERE ] updating countdown to 56534
[17:59:57.333] [SEVERE ] updating countdown to 56523
[17:59:57.345] [SEVERE ] updating countdown to 56511
[17:59:57.359] [SEVERE ] updating countdown to 56497
[17:59:57.371] [SEVERE ] updating countdown to 56485
[17:59:57.382] [SEVERE ] updating countdown to 56474
[17:59:57.393] [SEVERE ] updating countdown to 56463
[17:59:57.403] [SEVERE ] updating countdown to 56453
[17:59:57.414] [SEVERE ] updating countdown to 56442
[17:59:57.426] [SEVERE ] updating countdown to 56430
[17:59:57.438] [SEVERE ] updating countdown to 56418
[17:59:57.450] [SEVERE ] updating countdown to 56406
[17:59:57.462] [SEVERE ] updating countdown to 56394
[17:59:57.474] [SEVERE ] updating countdown to 56382
[17:59:57.485] [SEVERE ] updating countdown to 56371
[17:59:57.497] [SEVERE ] updating countdown to 56359
[17:59:57.509] [SEVERE ] updating countdown to 56348
[17:59:57.520] [SEVERE ] updating countdown to 56336
[17:59:57.532] [SEVERE ] updating countdown to 56324
[17:59:57.543] [SEVERE ] updating countdown to 56313
[17:59:57.555] [SEVERE ] updating countdown to 56301
[17:59:57.567] [SEVERE ] updating countdown to 56289
[17:59:57.579] [SEVERE ] updating countdown to 56278
[17:59:57.590] [SEVERE ] updating countdown to 56266
[17:59:57.602] [SEVERE ] updating countdown to 56254
[17:59:57.614] [SEVERE ] updating countdown to 56242
[17:59:57.626] [SEVERE ] updating countdown to 56230
[17:59:57.638] [SEVERE ] updating countdown to 56218
[17:59:57.649] [SEVERE ] updating countdown to 56207
[17:59:57.660] [SEVERE ] updating countdown to 56196
[17:59:57.671] [SEVERE ] updating countdown to 56185
[17:59:57.683] [SEVERE ] updating countdown to 56173
[17:59:57.693] [SEVERE ] updating countdown to 56163
[17:59:57.704] [SEVERE ] updating countdown to 56152
[17:59:57.715] [SEVERE ] updating countdown to 56141
[17:59:57.727] [SEVERE ] updating countdown to 56129
[17:59:57.738] [SEVERE ] updating countdown to 56118
[17:59:57.741] [SEVERE ] key 47 was pressed by player 2
[17:59:57.741] [SEVERE ] removing player 2 token from slot 11
[17:59:57.748] [SEVERE ] updating countdown to 56108
[17:59:57.759] [SEVERE ] updating countdown to 56097
[17:59:57.770] [SEVERE ] updating countdown to 56086
[17:59:57.781] [SEVERE ] updating countdown to 56075
[17:59:57.792] [SEVERE ] updating countdown to 56064
[17:59:57.803] [SEVERE ] updating countdown to 56053
[17:59:57.815] [SEVERE ] updating countdown to 56041
[17:59:57.828] [SEVERE ] updating countdown to 56028
[17:59:57.840] [SEVERE ] updating countdown to 56016
[17:59:57.852] [SEVERE ] updating countdown to 56004
[17:59:57.864] [SEVERE ] updating countdown to 55992
[17:59:57.877] [SEVERE ] updating countdown to 55979
[17:59:57.887] [SEVERE ] updating countdown to 55969
[17:59:57.898] [SEVERE ] updating countdown to 55958
[17:59:57.909] [SEVERE ] updating countdown to 55947
[17:59:57.920] [SEVERE ] updating countdown to 55936
[17:59:57.931] [SEVERE ] updating countdown to 55925
[17:59:57.943] [SEVERE ] updating countdown to 55913
[17:59:57.954] [SEVERE ] updating countdown to 55902
[17:59:57.965] [SEVERE ] updating countdown to 55891
[17:59:57.977] [SEVERE ] updating countdown to 55879
[17:59:57.988] [SEVERE ] updating countdown to 55868
[17:59:58.000] [SEVERE ] updating countdown to 55856
[17:59:58.013] [SEVERE ] updating countdown to 55843
[17:59:58.024] [SEVERE ] updating countdown to 55832
[17:59:58.037] [SEVERE ] updating countdown to 55820
[17:59:58.050] [SEVERE ] updating countdown to 55806
[17:59:58.062] [SEVERE ] updating countdown to 55794
[17:59:58.095] [SEVERE ] updating countdown to 55762
[17:59:58.107] [SEVERE ] updating countdown to 55749
[17:59:58.119] [SEVERE ] updating countdown to 55737
[17:59:58.130] [SEVERE ] updating countdown to 55726
[17:59:58.142] [SEVERE ] updating countdown to 55715
[17:59:58.152] [SEVERE ] updating countdown to 55704
[17:59:58.163] [SEVERE ] updating countdown to 55693
[17:59:58.174] [SEVERE ] updating countdown to 55682
[17:59:58.184] [SEVERE ] updating countdown to 55672
[17:59:58.196] [SEVERE ] updating countdown to 55660
[17:59:58.208] [SEVERE ] updating countdown to 55648
[17:59:58.218] [SEVERE ] updating countdown to 55638
[17:59:58.229] [SEVERE ] updating countdown to 55627
[17:59:58.240] [SEVERE ] updating countdown to 55616
[17:59:58.250] [SEVERE ] updating countdown to 55606
[17:59:58.261] [SEVERE ] updating countdown to 55595
[17:59:58.272] [SEVERE ] updating countdown to 55584
[17:59:58.283] [SEVERE ] updating countdown to 55573
[17:59:58.295] [SEVERE ] updating countdown to 55561
[17:59:58.306] [SEVERE ] updating countdown to 55550
[17:59:58.316] [SEVERE ] updating countdown to 55540
[17:59:58.327] [SEVERE ] updating countdown to 55529
[17:59:58.338] [SEVERE ] updating countdown to 55518
[17:59:58.349] [SEVERE ] updating countdown to 55507
[17:59:58.360] [SEVERE ] updating countdown to 55496
[17:59:58.370] [SEVERE ] updating countdown to 55486
[17:59:58.381] [SEVERE ] updating countdown to 55475
[17:59:58.391] [SEVERE ] updating countdown to 55465
[17:59:58.402] [SEVERE ] updating countdown to 55454
[17:59:58.412] [SEVERE ] updating countdown to 55444
[17:59:58.423] [SEVERE ] updating countdown to 55433
[17:59:58.433] [SEVERE ] updating countdown to 55423
[17:59:58.444] [SEVERE ] updating countdown to 55412
[17:59:58.455] [SEVERE ] updating countdown to 55401
[17:59:58.465] [SEVERE ] updating countdown to 55391
[17:59:58.476] [SEVERE ] updating countdown to 55380
[17:59:58.486] [SEVERE ] updating countdown to 55370
[17:59:58.497] [SEVERE ] updating countdown to 55359
[17:59:58.507] [SEVERE ] updating countdown to 55349
[17:59:58.518] [SEVERE ] updating countdown to 55338
[17:59:58.529] [SEVERE ] updating countdown to 55327
[17:59:58.539] [SEVERE ] updating countdown to 55317
[17:59:58.550] [SEVERE ] updating countdown to 55306
[17:59:58.561] [SEVERE ] updating countdown to 55295
[17:59:58.571] [SEVERE ] updating countdown to 55285
[17:59:58.582] [SEVERE ] updating countdown to 55274
[17:59:58.593] [SEVERE ] updating countdown to 55263
[17:59:58.604] [SEVERE ] updating countdown to 55252
[17:59:58.615] [SEVERE ] updating countdown to 55241
[17:59:58.625] [SEVERE ] updating countdown to 55231
[17:59:58.636] [SEVERE ] updating countdown to 55220
[17:59:58.646] [SEVERE ] updating countdown to 55210
[17:59:58.657] [SEVERE ] updating countdown to 55199
[17:59:58.668] [SEVERE ] updating countdown to 55188
[17:59:58.709] [SEVERE ] updating countdown to 55147
[17:59:58.743] [SEVERE ] updating countdown to 55113
[17:59:58.767] [SEVERE ] updating countdown to 55089
[17:59:58.778] [SEVERE ] updating countdown to 55078
[17:59:58.788] [SEVERE ] updating countdown to 55068
[17:59:58.799] [SEVERE ] updating countdown to 55057
[17:59:58.810] [SEVERE ] updating countdown to 55046
[17:59:58.820] [SEVERE ] updating countdown to 55036
[17:59:58.831] [SEVERE ] updating countdown to 55025
[17:59:58.842] [SEVERE ] updating countdown to 55014
[17:59:58.852] [SEVERE ] updating countdown to 55004
[17:59:58.863] [SEVERE ] updating countdown to 54993
[17:59:58.874] [SEVERE ] updating countdown to 54982
[17:59:58.885] [SEVERE ] updating countdown to 54971
[17:59:58.896] [SEVERE ] updating countdown to 54960
[17:59:58.906] [SEVERE ] updating countdown to 54950
