[13:33:41.699] [INFO   ] thread bguspl.set.Main.main() starting.
[13:33:41.714] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:33:41.723] [SEVERE ] configuration file was loaded from resources directory.
[13:33:43.040] [INFO   ] thread dealer starting.
[13:33:43.041] [INFO   ] thread dealer starting.
[13:33:43.041] [INFO   ] thread player 0 starting.
[13:33:43.042] [INFO   ] thread player 1 starting.
[13:33:43.042] [INFO   ] thread player 0 starting.
[13:33:43.044] [INFO   ] thread player 1 starting.
[13:33:43.148] [SEVERE ] placing card 0 in slot 0
[13:33:43.249] [SEVERE ] placing card 1 in slot 1
[13:33:43.350] [SEVERE ] placing card 2 in slot 2
[13:33:43.452] [SEVERE ] placing card 3 in slot 3
[13:33:43.553] [SEVERE ] placing card 4 in slot 4
[13:33:43.655] [SEVERE ] placing card 5 in slot 5
[13:33:43.757] [SEVERE ] placing card 6 in slot 6
[13:33:43.859] [SEVERE ] placing card 7 in slot 7
[13:33:43.960] [SEVERE ] placing card 8 in slot 8
[13:33:44.061] [SEVERE ] placing card 9 in slot 9
[13:33:44.162] [SEVERE ] placing card 10 in slot 10
[13:33:44.263] [SEVERE ] placing card 11 in slot 11
[13:33:44.274] [SEVERE ] updating countdown to 58759
[13:33:44.285] [SEVERE ] updating countdown to 58748
[13:33:44.296] [SEVERE ] updating countdown to 58737
[13:33:44.307] [SEVERE ] updating countdown to 58726
[13:33:44.318] [SEVERE ] updating countdown to 58715
[13:33:44.330] [SEVERE ] updating countdown to 58703
[13:33:44.341] [SEVERE ] updating countdown to 58692
[13:33:44.352] [SEVERE ] updating countdown to 58681
[13:33:44.364] [SEVERE ] updating countdown to 58669
[13:33:44.376] [SEVERE ] updating countdown to 58657
[13:33:44.387] [SEVERE ] updating countdown to 58646
[13:33:44.399] [SEVERE ] updating countdown to 58634
[13:33:44.410] [SEVERE ] updating countdown to 58623
[13:33:44.420] [SEVERE ] updating countdown to 58613
[13:33:44.432] [SEVERE ] updating countdown to 58601
[13:33:44.443] [SEVERE ] updating countdown to 58590
