[16:14:29.148] [INFO   ] thread bguspl.set.Main.main() starting.
[16:14:29.160] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:14:29.165] [SEVERE ] configuration file was loaded from resources directory.
[16:14:30.324] [INFO   ] thread dealer starting.
[16:14:30.327] [INFO   ] thread dealer starting.
[16:14:30.328] [INFO   ] thread player 0 starting.
[16:14:30.330] [INFO   ] thread player 1 starting.
[16:14:30.330] [INFO   ] thread player 0 starting.
[16:14:30.332] [INFO   ] thread player 1 starting.
[16:14:30.437] [SEVERE ] placing card 0 in slot 0
[16:14:30.539] [SEVERE ] placing card 1 in slot 1
[16:14:30.640] [SEVERE ] placing card 2 in slot 2
[16:14:30.741] [SEVERE ] placing card 3 in slot 3
[16:14:30.843] [SEVERE ] placing card 4 in slot 4
[16:14:30.945] [SEVERE ] placing card 5 in slot 5
[16:14:31.048] [SEVERE ] placing card 6 in slot 6
[16:14:31.150] [SEVERE ] placing card 7 in slot 7
[16:14:31.252] [SEVERE ] placing card 8 in slot 8
[16:14:31.388] [SEVERE ] placing card 9 in slot 9
[16:14:31.490] [SEVERE ] placing card 10 in slot 10
[16:14:31.591] [SEVERE ] placing card 11 in slot 11
[16:14:31.602] [SEVERE ] updating countdown to 58702
[16:14:31.614] [SEVERE ] updating countdown to 58690
[16:14:31.625] [SEVERE ] updating countdown to 58679
[16:14:31.636] [SEVERE ] updating countdown to 58668
[16:14:31.647] [SEVERE ] updating countdown to 58657
[16:14:31.659] [SEVERE ] updating countdown to 58645
[16:14:31.670] [SEVERE ] updating countdown to 58634
[16:14:31.682] [SEVERE ] updating countdown to 58622
[16:14:31.694] [SEVERE ] updating countdown to 58610
[16:14:31.706] [SEVERE ] updating countdown to 58598
[16:14:31.717] [SEVERE ] updating countdown to 58587
[16:14:31.728] [SEVERE ] updating countdown to 58576
[16:14:31.740] [SEVERE ] updating countdown to 58564
[16:14:31.751] [SEVERE ] updating countdown to 58553
[16:14:31.762] [SEVERE ] updating countdown to 58542
[16:14:31.773] [SEVERE ] updating countdown to 58531
[16:14:31.785] [SEVERE ] updating countdown to 58519
[16:14:31.796] [SEVERE ] updating countdown to 58508
[16:14:31.807] [SEVERE ] updating countdown to 58497
[16:14:31.818] [SEVERE ] updating countdown to 58487
[16:14:31.829] [SEVERE ] updating countdown to 58475
[16:14:31.840] [SEVERE ] updating countdown to 58464
[16:14:31.852] [SEVERE ] updating countdown to 58452
[16:14:31.864] [SEVERE ] updating countdown to 58440
[16:14:31.876] [SEVERE ] updating countdown to 58428
[16:14:31.889] [SEVERE ] updating countdown to 58415
[16:14:31.900] [SEVERE ] updating countdown to 58404
[16:14:31.911] [SEVERE ] updating countdown to 58393
[16:14:31.922] [SEVERE ] updating countdown to 58382
[16:14:31.933] [SEVERE ] updating countdown to 58371
[16:14:31.944] [SEVERE ] updating countdown to 58360
[16:14:31.955] [SEVERE ] updating countdown to 58349
[16:14:31.966] [SEVERE ] updating countdown to 58338
[16:14:31.976] [SEVERE ] updating countdown to 58328
[16:14:31.987] [SEVERE ] updating countdown to 58317
[16:14:31.998] [SEVERE ] updating countdown to 58306
[16:14:32.009] [SEVERE ] updating countdown to 58295
[16:14:32.020] [SEVERE ] updating countdown to 58284
[16:14:32.031] [SEVERE ] updating countdown to 58273
[16:14:32.042] [SEVERE ] updating countdown to 58262
[16:14:32.053] [SEVERE ] updating countdown to 58251
[16:14:32.064] [SEVERE ] updating countdown to 58240
[16:14:32.075] [SEVERE ] updating countdown to 58229
[16:14:32.086] [SEVERE ] updating countdown to 58218
[16:14:32.097] [SEVERE ] updating countdown to 58207
[16:14:32.107] [SEVERE ] updating countdown to 58197
[16:14:32.119] [SEVERE ] updating countdown to 58185
[16:14:32.130] [SEVERE ] updating countdown to 58174
[16:14:32.141] [SEVERE ] updating countdown to 58163
[16:14:32.152] [SEVERE ] updating countdown to 58152
[16:14:32.163] [SEVERE ] updating countdown to 58141
[16:14:32.174] [SEVERE ] updating countdown to 58130
[16:14:32.185] [SEVERE ] updating countdown to 58120
[16:14:32.196] [SEVERE ] updating countdown to 58108
[16:14:32.207] [SEVERE ] updating countdown to 58097
[16:14:32.218] [SEVERE ] updating countdown to 58086
[16:14:32.229] [SEVERE ] updating countdown to 58075
[16:14:32.240] [SEVERE ] updating countdown to 58064
[16:14:32.250] [SEVERE ] updating countdown to 58054
[16:14:32.261] [SEVERE ] updating countdown to 58043
[16:14:32.272] [SEVERE ] updating countdown to 58032
[16:14:32.282] [SEVERE ] updating countdown to 58022
[16:14:32.296] [SEVERE ] updating countdown to 58008
[16:14:32.307] [SEVERE ] updating countdown to 57997
[16:14:32.318] [SEVERE ] updating countdown to 57986
[16:14:32.329] [SEVERE ] updating countdown to 57975
[16:14:32.340] [SEVERE ] updating countdown to 57964
[16:14:32.351] [SEVERE ] updating countdown to 57953
[16:14:32.362] [SEVERE ] updating countdown to 57942
[16:14:32.372] [SEVERE ] updating countdown to 57932
[16:14:32.384] [SEVERE ] updating countdown to 57920
[16:14:32.396] [SEVERE ] updating countdown to 57908
[16:14:32.407] [SEVERE ] updating countdown to 57897
[16:14:32.418] [SEVERE ] updating countdown to 57886
[16:14:32.429] [SEVERE ] updating countdown to 57876
[16:14:32.439] [SEVERE ] updating countdown to 57865
[16:14:32.450] [SEVERE ] updating countdown to 57854
[16:14:32.461] [SEVERE ] updating countdown to 57843
[16:14:32.471] [SEVERE ] updating countdown to 57833
[16:14:32.482] [SEVERE ] updating countdown to 57822
[16:14:32.493] [SEVERE ] updating countdown to 57811
[16:14:32.504] [SEVERE ] updating countdown to 57800
[16:14:32.515] [SEVERE ] updating countdown to 57789
[16:14:32.525] [SEVERE ] updating countdown to 57779
[16:14:32.536] [SEVERE ] updating countdown to 57768
[16:14:32.547] [SEVERE ] updating countdown to 57757
[16:14:32.558] [SEVERE ] updating countdown to 57746
[16:14:32.569] [SEVERE ] updating countdown to 57735
[16:14:32.580] [SEVERE ] updating countdown to 57724
[16:14:32.591] [SEVERE ] updating countdown to 57713
[16:14:32.602] [SEVERE ] updating countdown to 57702
[16:14:32.612] [SEVERE ] updating countdown to 57692
[16:14:32.623] [SEVERE ] updating countdown to 57681
[16:14:32.634] [SEVERE ] updating countdown to 57670
[16:14:32.645] [SEVERE ] updating countdown to 57659
[16:14:32.655] [SEVERE ] updating countdown to 57649
[16:14:32.666] [SEVERE ] updating countdown to 57638
[16:14:32.677] [SEVERE ] updating countdown to 57627
[16:14:32.688] [SEVERE ] updating countdown to 57616
[16:14:32.699] [SEVERE ] updating countdown to 57605
[16:14:32.710] [SEVERE ] updating countdown to 57594
[16:14:32.721] [SEVERE ] updating countdown to 57583
[16:14:32.732] [SEVERE ] updating countdown to 57572
[16:14:32.743] [SEVERE ] updating countdown to 57561
[16:14:32.754] [SEVERE ] updating countdown to 57550
[16:14:32.765] [SEVERE ] updating countdown to 57539
[16:14:32.777] [SEVERE ] updating countdown to 57527
[16:14:32.788] [SEVERE ] updating countdown to 57516
[16:14:32.799] [SEVERE ] updating countdown to 57505
[16:14:32.809] [SEVERE ] updating countdown to 57495
[16:14:32.820] [SEVERE ] updating countdown to 57484
[16:14:32.831] [SEVERE ] updating countdown to 57473
[16:14:32.842] [SEVERE ] updating countdown to 57462
[16:14:32.853] [SEVERE ] updating countdown to 57451
[16:14:32.864] [SEVERE ] updating countdown to 57440
[16:14:32.874] [SEVERE ] updating countdown to 57430
[16:14:32.885] [SEVERE ] updating countdown to 57419
[16:14:32.896] [SEVERE ] updating countdown to 57408
[16:14:32.907] [SEVERE ] updating countdown to 57397
[16:14:32.918] [SEVERE ] updating countdown to 57386
[16:14:32.929] [SEVERE ] updating countdown to 57375
[16:14:32.939] [SEVERE ] updating countdown to 57365
[16:14:32.951] [SEVERE ] updating countdown to 57353
[16:14:32.962] [SEVERE ] updating countdown to 57342
[16:14:32.973] [SEVERE ] updating countdown to 57331
[16:14:32.985] [SEVERE ] updating countdown to 57319
[16:14:32.996] [SEVERE ] updating countdown to 57308
[16:14:33.007] [SEVERE ] updating countdown to 57297
[16:14:33.018] [SEVERE ] updating countdown to 57286
[16:14:33.029] [SEVERE ] updating countdown to 57275
[16:14:33.040] [SEVERE ] updating countdown to 57264
[16:14:33.050] [SEVERE ] updating countdown to 57254
[16:14:33.061] [SEVERE ] updating countdown to 57243
[16:14:33.072] [SEVERE ] updating countdown to 57232
[16:14:33.083] [SEVERE ] updating countdown to 57221
[16:14:33.095] [SEVERE ] updating countdown to 57209
[16:14:33.109] [SEVERE ] updating countdown to 57196
[16:14:33.120] [SEVERE ] updating countdown to 57185
[16:14:33.131] [SEVERE ] updating countdown to 57173
[16:14:33.142] [SEVERE ] updating countdown to 57162
[16:14:33.154] [SEVERE ] updating countdown to 57150
[16:14:33.165] [SEVERE ] updating countdown to 57139
[16:14:33.176] [SEVERE ] updating countdown to 57128
[16:14:33.187] [SEVERE ] updating countdown to 57117
[16:14:33.198] [SEVERE ] updating countdown to 57106
[16:14:33.209] [SEVERE ] updating countdown to 57095
[16:14:33.222] [SEVERE ] updating countdown to 57082
[16:14:33.233] [SEVERE ] updating countdown to 57071
[16:14:33.244] [SEVERE ] updating countdown to 57060
[16:14:33.254] [SEVERE ] updating countdown to 57050
[16:14:33.265] [SEVERE ] updating countdown to 57039
[16:14:33.276] [SEVERE ] updating countdown to 57028
[16:14:33.287] [SEVERE ] updating countdown to 57017
[16:14:33.298] [SEVERE ] updating countdown to 57006
[16:14:33.308] [SEVERE ] updating countdown to 56996
[16:14:33.320] [SEVERE ] updating countdown to 56984
[16:14:33.331] [SEVERE ] updating countdown to 56973
[16:14:33.342] [SEVERE ] updating countdown to 56962
[16:14:33.353] [SEVERE ] updating countdown to 56951
[16:14:33.363] [SEVERE ] updating countdown to 56941
[16:14:33.374] [SEVERE ] updating countdown to 56930
[16:14:33.384] [SEVERE ] updating countdown to 56920
[16:14:33.395] [SEVERE ] updating countdown to 56909
[16:14:33.406] [SEVERE ] updating countdown to 56898
[16:14:33.416] [SEVERE ] updating countdown to 56888
[16:14:33.428] [SEVERE ] updating countdown to 56877
[16:14:33.439] [SEVERE ] updating countdown to 56865
[16:14:33.450] [SEVERE ] updating countdown to 56854
[16:14:33.461] [SEVERE ] updating countdown to 56843
[16:14:33.473] [SEVERE ] updating countdown to 56831
[16:14:33.484] [SEVERE ] updating countdown to 56820
[16:14:33.495] [SEVERE ] updating countdown to 56809
[16:14:33.505] [SEVERE ] updating countdown to 56799
[16:14:33.516] [SEVERE ] updating countdown to 56788
[16:14:33.527] [SEVERE ] updating countdown to 56777
[16:14:33.538] [SEVERE ] updating countdown to 56766
[16:14:33.550] [SEVERE ] updating countdown to 56754
[16:14:33.561] [SEVERE ] updating countdown to 56743
[16:14:33.572] [SEVERE ] updating countdown to 56732
[16:14:33.583] [SEVERE ] updating countdown to 56721
[16:14:33.594] [SEVERE ] updating countdown to 56710
[16:14:33.604] [SEVERE ] updating countdown to 56700
[16:14:33.615] [SEVERE ] updating countdown to 56689
[16:14:33.626] [SEVERE ] updating countdown to 56678
[16:14:33.636] [SEVERE ] updating countdown to 56668
[16:14:33.647] [SEVERE ] updating countdown to 56657
[16:14:33.658] [SEVERE ] updating countdown to 56646
[16:14:33.668] [SEVERE ] updating countdown to 56636
[16:14:33.679] [SEVERE ] updating countdown to 56625
[16:14:33.691] [SEVERE ] updating countdown to 56613
[16:14:33.703] [SEVERE ] updating countdown to 56602
[16:14:33.714] [SEVERE ] updating countdown to 56590
[16:14:33.725] [SEVERE ] updating countdown to 56579
[16:14:33.737] [SEVERE ] updating countdown to 56568
[16:14:33.747] [SEVERE ] updating countdown to 56557
[16:14:33.759] [SEVERE ] updating countdown to 56545
[16:14:33.770] [SEVERE ] updating countdown to 56534
[16:14:33.781] [SEVERE ] updating countdown to 56523
[16:14:33.792] [SEVERE ] updating countdown to 56512
[16:14:33.803] [SEVERE ] updating countdown to 56501
[16:14:33.814] [SEVERE ] updating countdown to 56490
[16:14:33.825] [SEVERE ] updating countdown to 56479
[16:14:33.837] [SEVERE ] updating countdown to 56467
[16:14:33.849] [SEVERE ] updating countdown to 56456
[16:14:33.859] [SEVERE ] updating countdown to 56445
[16:14:33.870] [SEVERE ] updating countdown to 56434
[16:14:33.881] [SEVERE ] updating countdown to 56423
[16:14:33.892] [SEVERE ] updating countdown to 56412
[16:14:33.903] [SEVERE ] updating countdown to 56401
[16:14:33.914] [SEVERE ] updating countdown to 56390
[16:14:33.925] [SEVERE ] updating countdown to 56379
[16:14:33.935] [SEVERE ] updating countdown to 56369
[16:14:33.946] [SEVERE ] updating countdown to 56358
[16:14:33.957] [SEVERE ] updating countdown to 56347
[16:14:33.969] [SEVERE ] updating countdown to 56335
[16:14:33.981] [SEVERE ] updating countdown to 56323
[16:14:33.992] [SEVERE ] updating countdown to 56312
[16:14:34.004] [SEVERE ] updating countdown to 56300
[16:14:34.015] [SEVERE ] updating countdown to 56289
[16:14:34.027] [SEVERE ] updating countdown to 56277
[16:14:34.039] [SEVERE ] updating countdown to 56265
[16:14:34.050] [SEVERE ] updating countdown to 56254
[16:14:34.062] [SEVERE ] updating countdown to 56242
[16:14:34.073] [SEVERE ] updating countdown to 56231
[16:14:34.083] [SEVERE ] updating countdown to 56221
[16:14:34.094] [SEVERE ] updating countdown to 56210
[16:14:34.105] [SEVERE ] updating countdown to 56199
[16:14:34.116] [SEVERE ] updating countdown to 56188
[16:14:34.127] [SEVERE ] updating countdown to 56177
[16:14:34.137] [SEVERE ] updating countdown to 56167
[16:14:34.148] [SEVERE ] updating countdown to 56156
[16:14:34.160] [SEVERE ] updating countdown to 56144
[16:14:34.171] [SEVERE ] updating countdown to 56133
[16:14:34.183] [SEVERE ] updating countdown to 56121
[16:14:34.195] [SEVERE ] updating countdown to 56109
[16:14:34.207] [SEVERE ] updating countdown to 56097
[16:14:34.218] [SEVERE ] updating countdown to 56086
[16:14:34.229] [SEVERE ] updating countdown to 56075
[16:14:34.240] [SEVERE ] updating countdown to 56064
[16:14:34.251] [SEVERE ] updating countdown to 56053
[16:14:34.262] [SEVERE ] updating countdown to 56042
[16:14:34.273] [SEVERE ] updating countdown to 56031
[16:14:34.284] [SEVERE ] updating countdown to 56020
[16:14:34.294] [SEVERE ] updating countdown to 56010
[16:14:34.305] [SEVERE ] updating countdown to 55999
[16:14:34.316] [SEVERE ] updating countdown to 55988
[16:14:34.327] [SEVERE ] updating countdown to 55977
[16:14:34.338] [SEVERE ] updating countdown to 55966
[16:14:34.349] [SEVERE ] updating countdown to 55955
[16:14:34.360] [SEVERE ] updating countdown to 55944
[16:14:34.370] [SEVERE ] updating countdown to 55934
[16:14:34.381] [SEVERE ] updating countdown to 55923
[16:14:34.391] [SEVERE ] updating countdown to 55913
[16:14:34.402] [SEVERE ] updating countdown to 55902
[16:14:34.413] [SEVERE ] updating countdown to 55891
[16:14:34.424] [SEVERE ] updating countdown to 55880
[16:14:34.434] [SEVERE ] updating countdown to 55870
[16:14:34.445] [SEVERE ] updating countdown to 55859
[16:14:34.456] [SEVERE ] updating countdown to 55848
[16:14:34.467] [SEVERE ] updating countdown to 55837
[16:14:34.478] [SEVERE ] updating countdown to 55826
[16:14:34.488] [SEVERE ] updating countdown to 55816
[16:14:34.499] [SEVERE ] updating countdown to 55805
[16:14:34.510] [SEVERE ] updating countdown to 55794
[16:14:34.521] [SEVERE ] updating countdown to 55783
[16:14:34.531] [SEVERE ] updating countdown to 55773
[16:14:34.542] [SEVERE ] updating countdown to 55762
[16:14:34.553] [SEVERE ] updating countdown to 55751
[16:14:34.564] [SEVERE ] updating countdown to 55740
[16:14:34.576] [SEVERE ] updating countdown to 55728
[16:14:34.588] [SEVERE ] updating countdown to 55716
[16:14:34.599] [SEVERE ] updating countdown to 55705
[16:14:34.610] [SEVERE ] updating countdown to 55694
[16:14:34.622] [SEVERE ] updating countdown to 55682
[16:14:34.633] [SEVERE ] updating countdown to 55671
[16:14:34.645] [SEVERE ] updating countdown to 55659
[16:14:34.657] [SEVERE ] updating countdown to 55647
[16:14:34.668] [SEVERE ] updating countdown to 55636
[16:14:34.680] [SEVERE ] updating countdown to 55624
[16:14:34.691] [SEVERE ] updating countdown to 55613
[16:14:34.702] [SEVERE ] updating countdown to 55602
[16:14:34.714] [SEVERE ] updating countdown to 55590
[16:14:34.725] [SEVERE ] updating countdown to 55579
[16:14:34.736] [SEVERE ] updating countdown to 55568
[16:14:34.747] [SEVERE ] updating countdown to 55557
[16:14:34.757] [SEVERE ] updating countdown to 55547
[16:14:34.768] [SEVERE ] updating countdown to 55536
[16:14:34.779] [SEVERE ] updating countdown to 55525
[16:14:34.790] [SEVERE ] updating countdown to 55514
[16:14:34.801] [SEVERE ] updating countdown to 55503
[16:14:34.811] [SEVERE ] updating countdown to 55493
[16:14:34.822] [SEVERE ] updating countdown to 55482
[16:14:34.833] [SEVERE ] updating countdown to 55471
[16:14:34.844] [SEVERE ] updating countdown to 55460
[16:14:34.854] [SEVERE ] updating countdown to 55450
[16:14:34.866] [SEVERE ] updating countdown to 55438
[16:14:34.877] [SEVERE ] updating countdown to 55427
[16:14:34.888] [SEVERE ] updating countdown to 55416
[16:14:34.899] [SEVERE ] updating countdown to 55405
[16:14:34.910] [SEVERE ] updating countdown to 55394
[16:14:34.921] [SEVERE ] updating countdown to 55383
[16:14:34.932] [SEVERE ] updating countdown to 55372
[16:14:34.944] [SEVERE ] updating countdown to 55360
[16:14:34.955] [SEVERE ] updating countdown to 55349
[16:14:34.967] [SEVERE ] updating countdown to 55337
[16:14:34.978] [SEVERE ] updating countdown to 55326
[16:14:34.990] [SEVERE ] updating countdown to 55314
[16:14:35.001] [SEVERE ] updating countdown to 55303
[16:14:35.013] [SEVERE ] updating countdown to 55291
[16:14:35.025] [SEVERE ] updating countdown to 55279
[16:14:35.036] [SEVERE ] updating countdown to 55268
[16:14:35.048] [SEVERE ] updating countdown to 55256
[16:14:35.059] [SEVERE ] updating countdown to 55245
[16:14:35.070] [SEVERE ] updating countdown to 55234
[16:14:35.081] [SEVERE ] updating countdown to 55223
[16:14:35.092] [SEVERE ] updating countdown to 55212
[16:14:35.102] [SEVERE ] updating countdown to 55202
[16:14:35.113] [SEVERE ] updating countdown to 55191
[16:14:35.124] [SEVERE ] updating countdown to 55180
[16:14:35.135] [SEVERE ] updating countdown to 55169
[16:14:35.147] [SEVERE ] updating countdown to 55157
[16:14:35.158] [SEVERE ] updating countdown to 55146
[16:14:35.169] [SEVERE ] updating countdown to 55135
[16:14:35.181] [SEVERE ] updating countdown to 55123
[16:14:35.194] [SEVERE ] updating countdown to 55110
[16:14:35.205] [SEVERE ] updating countdown to 55099
[16:14:35.216] [SEVERE ] updating countdown to 55088
[16:14:35.227] [SEVERE ] updating countdown to 55077
[16:14:35.239] [SEVERE ] updating countdown to 55066
[16:14:35.249] [SEVERE ] updating countdown to 55055
[16:14:35.281] [SEVERE ] updating countdown to 55023
[16:14:35.292] [SEVERE ] updating countdown to 55012
[16:14:35.302] [SEVERE ] updating countdown to 55002
[16:14:35.313] [SEVERE ] updating countdown to 54991
[16:14:35.324] [SEVERE ] updating countdown to 54980
[16:14:35.335] [SEVERE ] updating countdown to 54969
[16:14:35.346] [SEVERE ] updating countdown to 54958
[16:14:35.356] [SEVERE ] updating countdown to 54948
[16:14:35.367] [SEVERE ] updating countdown to 54937
[16:14:35.378] [SEVERE ] updating countdown to 54926
[16:14:35.389] [SEVERE ] updating countdown to 54915
[16:14:35.400] [SEVERE ] updating countdown to 54904
[16:14:35.410] [SEVERE ] updating countdown to 54894
[16:14:35.421] [SEVERE ] updating countdown to 54883
[16:14:35.433] [SEVERE ] updating countdown to 54871
[16:14:35.444] [SEVERE ] updating countdown to 54860
[16:14:35.456] [SEVERE ] updating countdown to 54848
[16:14:35.468] [SEVERE ] updating countdown to 54837
[16:14:35.480] [SEVERE ] updating countdown to 54824
[16:14:35.492] [SEVERE ] updating countdown to 54812
[16:14:35.504] [SEVERE ] updating countdown to 54800
[16:14:35.515] [SEVERE ] updating countdown to 54789
[16:14:35.527] [SEVERE ] updating countdown to 54777
[16:14:35.538] [SEVERE ] updating countdown to 54766
[16:14:35.550] [SEVERE ] updating countdown to 54754
[16:14:35.561] [SEVERE ] updating countdown to 54743
[16:14:35.573] [SEVERE ] updating countdown to 54731
[16:14:35.585] [SEVERE ] updating countdown to 54719
[16:14:35.597] [SEVERE ] updating countdown to 54707
[16:14:35.608] [SEVERE ] updating countdown to 54696
[16:14:35.619] [SEVERE ] updating countdown to 54685
[16:14:35.629] [SEVERE ] key 81 was pressed by player 1
[16:14:35.630] [SEVERE ] updating countdown to 54674
[16:14:35.630] [SEVERE ] player 1 placing token on slot 0
[16:14:35.641] [SEVERE ] updating countdown to 54663
[16:14:35.652] [SEVERE ] updating countdown to 54652
[16:14:35.663] [SEVERE ] updating countdown to 54641
